Time(ms),Main(mA),Main Voltage(V),
1637593982,513.4139275175106,4.995,
1637593982,515.2438887647216,4.9945,
1637593982,515.1218913482409,4.993,
1637593982,512.9259378515877,4.99425,
1637593982,514.7558990987987,4.9945,
1637593983,679.2084165148249,4.99725,
1637593983,678.1104397664983,4.99725,
1637593983,678.720426848902,5.0,
1637593983,669.5671194581654,4.99775,
1637593983,677.9845904421346,4.99575,
1637593984,660.4176944755902,4.9975000000000005,
1637593984,670.4210657898725,4.997,
1637593984,665.0534031334283,4.994,
1637593984,671.5189967877815,4.99575,
1637593984,668.1032114609534,4.99525,
1637593985,681.1563911027607,4.9945,
1637593985,680.3024447710537,4.99475,
1637593985,674.5688051153065,4.9982500000000005,
1637593985,671.1530197884784,4.996,
1637593985,667.8592267947514,4.9965,
1637593986,593.1999189369375,4.99425,
1637593986,590.6380799418165,4.99525,
1637593986,585.1484249522713,4.99375,
1637593986,592.4679649383315,4.99375,
1637593986,585.1484249522713,4.998,
1637593987,672.2509507863875,4.995,
1637593987,666.1513341313373,4.99775,
1637593987,664.0774644686203,4.998,
1637593987,662.2475794721053,4.996,
1637593987,655.1720241522471,4.996,
1637593988,654.440070153641,4.9935,
1637593988,666.0293417982364,4.9935,
1637593988,670.1770811236705,4.99525,
1637593988,665.0534031334283,4.9945,
1637593988,666.5173111306403,4.998,
1637593989,576.120992302797,4.9967500000000005,
1637593989,577.0969309676051,4.99575,
1637593989,580.5127162944332,4.994,
1637593989,579.6587699627262,4.9935,
1637593989,576.2429846358981,4.996,
1637593990,677.2526364435287,4.99525,
1637593990,690.549800751538,4.993,
1637593990,717.5101063668596,4.9945,
1637593990,680.3024447710537,4.9935,
1637593990,670.5430581229734,4.99325,
1637593991,869.0245840783055,4.9910000000000005,
1637593991,856.3373814358011,4.995,
1637593991,872.6843540713355,4.98975,
1637593991,917.4555403194037,4.988,
1637593991,918.6754636504137,4.98975,
1637593992,725.8055850177278,4.99225,
1637593992,709.9465817145974,4.988,
1637593992,790.7055062274615,4.98925,
1637593992,733.4911020030911,4.989,
1637593992,703.1150110609412,4.9910000000000005,
1637593993,808.3943945271069,4.9945,
1637593993,788.9976135640475,4.99775,
1637593993,772.162671596109,4.9975000000000005,
1637593993,786.4357745689264,4.99375,
1637593993,810.2242795236219,4.99625,
1637593994,770.332786599594,4.994,
1637593994,813.64006485045,4.996,
1637593994,777.8963112518562,5.0005,
1637593994,780.2141655807752,4.99525,
1637593994,816.5678808448741,4.998,
1637593995,725.1956233522228,4.9985,
1637593995,715.6802213703446,4.99475,
1637593995,756.7916376253827,4.9985,
1637593995,719.9499530288797,4.99625,
1637593995,718.1200680323647,4.993,
1637593996,817.1778425103792,4.999,
1637593996,782.5320199096943,4.9985,
1637593996,772.162671596109,4.9945,
1637593996,818.2757735082881,4.9975000000000005,
1637593996,778.8722499166641,4.99575,
1637593997,802.5387625382588,5.00075,
1637593997,770.2107942664929,4.9985,
1637593997,811.444202854632,4.9965,
1637593997,789.9735522288555,4.99775,
1637593997,775.3344722567351,4.99475,
1637593998,878.2960013939817,4.993,
1637593998,841.9422861298827,4.997,
1637593998,837.1845851389437,4.99625,
1637593998,849.9937801145489,4.992,
1637593998,889.275311373072,4.9982500000000005,
1637593999,807.4184558622989,4.99375,
1637593999,795.3412148852996,4.99625,
1637593999,772.162671596109,4.996,
1637593999,819.1297198399952,4.9965,
1637593999,782.4100275765933,4.99725,
1637594000,785.9478052365224,4.992,
1637594000,819.8616738386012,4.998,
1637594000,773.260602594018,4.996,
1637594000,794.8532455528956,4.9955,
1637594000,804.7346245340768,4.99775,
1637594001,820.3496431710053,4.99875,
1637594001,779.8481885814722,4.999,
1637594001,785.7038205703203,4.99175,
1637594001,824.1314054971364,4.99925,
1637594001,776.0664262553411,4.9982500000000005,
1637594002,859.5091820964273,4.9915,
1637594002,868.7805994121035,4.9935,
1637594002,842.0642784629838,4.997,
1637594002,887.445426376557,4.986,
1637594002,930.264735295009,4.994,
1637594003,844.2601404588019,4.99525,
1637594003,840.9663474650747,4.99475,
1637594003,849.505810782145,4.993,
1637594003,905.2563070093033,4.9955,
1637594003,851.579680444862,4.994,
1637594004,742.8845116518683,4.99425,
1637594004,736.7848949968181,4.99875,
1637594004,714.8262750386376,4.99475,
1637594004,760.9393769508167,4.99775,
1637594004,718.3640526985666,4.9965,
1637594005,774.9684952574321,4.9945,
1637594005,818.7637428406922,4.9945,
1637594005,784.9718665717144,4.9967500000000005,
1637594005,777.8963112518562,4.995,
1637594005,817.9097965089852,4.99625,
1637594006,802.4167702051578,4.9955,
1637594006,797.1710998818146,4.99775,
1637594006,774.3585335919271,4.997,
1637594006,818.1537811751872,4.99525,
1637594006,786.1917899027244,4.99425,
1637594007,716.5341677020516,4.99475,
1637594007,757.8895686232917,4.9965,
1637594007,719.4619836964757,4.9985,
1637594007,712.0204513773145,4.9975000000000005,
1637594007,756.9136299584836,4.998,
1637594008,789.2415982302495,4.998,
1637594008,772.040679263008,4.99775,
1637594008,819.1297198399952,4.99875,
1637594008,789.1196058971484,4.999,
1637594008,773.7485719264221,4.998,
1637594009,856.4593737689021,4.997,
1637594009,844.5041251250038,4.994,
1637594009,836.2086464741357,4.99175,
1637594009,893.789027697809,4.99625,
1637594009,852.799603775872,5.00025,
1637594010,820.3496431710053,4.99525,
1637594010,781.1901042455833,4.99875,
1637594010,780.5801425800782,4.99325,
1637594010,822.9114821661263,4.9965,
1637594010,776.5543955877451,4.998,
1637594011,798.7570002121277,4.99425,
1637594011,797.9030538804207,4.99975,
1637594011,770.576771265796,4.9965,
1637594011,814.6160035152581,4.9975000000000005,
1637594011,779.7261962483713,4.9965,
1637594012,823.2774591654293,4.999,
1637594012,778.2622882511591,4.99875,
1637594012,790.3395292281584,4.99175,
1637594012,816.9338578441772,4.997,
1637594012,782.4100275765933,4.99725,
1637594013,777.4083419194521,4.999,
1637594013,783.1419815751993,4.99725,
1637594013,798.5130155459257,4.99525,
1637594013,837.7945468044487,4.99625,
1637594013,800.2209082093398,4.998,
1637594014,861.2170747598412,4.989,
1637594014,889.3973037061729,4.996,
1637594014,854.019527106882,4.99275,
1637594014,862.3150057577503,4.99775,
1637594014,860.6071130943362,4.98925,
1637594015,854.2635117730841,4.99575,
1637594015,811.078225855329,4.9925,
1637594015,844.6261174581049,4.9915,
1637594015,834.9887231431256,4.9915,
1637594015,811.566195187733,4.9955,
1637594016,758.0115609563927,4.9945,
1637594016,712.9963900421226,4.99625,
1637594016,725.5616003515258,4.9902500000000005,
1637594016,749.5940899724235,4.99625,
1637594016,732.14918633898,4.999,
1637594017,818.7637428406922,4.998,
1637594017,818.3977658413892,4.99475,
1637594017,864.6328600866693,4.99775,
1637594017,815.5919421800661,4.9967500000000005,
1637594017,826.4492598260554,4.99175,
