Time(ms),Main(mA),Main Voltage(V),
1637591224,517.4849294205897,4.99775,
1637591224,513.2146477848748,4.99925,
1637591224,512.9706316914054,4.9982500000000005,
1637591224,513.3366558316096,4.99425,
1637591224,515.5328006728344,4.9935,
1637591225,753.8145159457187,4.988,
1637591225,744.1758802536767,4.99075,
1637591225,751.984395244698,4.9945,
1637591225,750.6423067306163,4.99375,
1637591225,736.6113813561249,4.98975,
1637591226,667.1888027640761,4.99625,
1637591226,669.2629395585661,4.9945,
1637591226,675.7293660355057,4.997,
1637591226,657.3061509785648,4.99875,
1637591226,658.4042233991771,4.998,
1637591227,680.6096879048939,4.9965,
1637591227,681.3417361853022,4.993,
1637591227,680.8537039983634,4.992,
1637591227,680.6096879048939,4.996,
1637591227,685.0019775873435,4.998,
1637591228,547.6209169640624,4.998,
1637591228,543.1066192348783,4.99625,
1637591228,548.230957197736,4.99375,
1637591228,544.3266997022254,4.9967500000000005,
1637591228,539.2023617393676,4.99625,
1637591229,726.2406973836747,4.9982500000000005,
1637591229,721.6043916077558,4.996,
1637591229,726.6067215238788,4.9955,
1637591229,720.7503352806128,4.99175,
1637591229,732.7071238606142,4.9967500000000005,
1637591230,655.5980383242788,4.9967500000000005,
1637591230,665.7247062032596,4.998,
1637591230,662.0644648012184,4.99575,
1637591230,664.2606096424431,4.9965,
1637591230,661.2104084740754,4.9967500000000005,
1637591231,719.8962789534698,4.996,
1637591231,719.042222626327,4.9955,
1637591231,719.2862387197963,4.994,
1637591231,720.5063191871434,4.99375,
1637591231,720.3843111404087,4.992,
1637591232,601.6704816675381,4.99375,
1637591232,607.0388357238652,4.997,
1637591232,605.452731116314,5.00025,
1637591232,604.3546586957016,4.99925,
1637591232,596.1801195644762,4.998,
1637591233,781.1443184142933,4.99,
1637591233,789.1968494987839,4.99075,
1637591233,781.1443184142933,4.9905,
1637591233,787.0007046575591,4.9925,
1637591233,783.340463255518,4.9925,
1637591234,777.484077012252,4.9885,
1637591234,764.3072079649036,4.9885,
1637591234,779.8022299002114,4.992,
1637591234,781.8763666947015,4.9955,
1637591234,767.84544132021,4.98975,
1637591235,796.8833564430705,4.9915,
1637591235,785.0485759098038,4.998,
1637591235,763.4531516377606,4.998,
1637591235,775.4099402177619,4.99525,
1637591235,812.8664105653172,4.99725,
1637591236,812.2563703316437,4.99525,
1637591236,768.3334735071488,4.996,
1637591236,772.9697792830677,4.9967500000000005,
1637591236,815.6725956402155,4.998,
1637591236,779.1921896665378,4.99925,
1637591237,815.3065715000114,5.00025,
1637591237,775.2879321710273,4.99775,
1637591237,778.9481735730684,4.99325,
1637591237,814.8185393130725,4.999,
1637591237,774.6778919373537,5.0,
1637591238,852.641033800832,4.99,
1637591238,898.3940513263474,4.99625,
1637591238,861.425613165731,5.0,
1637591238,842.1483417816471,4.99775,
1637591238,842.1483417816471,4.99525,
1637591239,809.0841611165413,4.997,
1637591239,784.4385356761303,4.9985,
1637591239,768.699497647353,4.995,
1637591239,795.0532357420499,4.99475,
1637591239,803.2277748732753,4.99775,
1637591240,778.0941172459255,4.9925,
1637591240,812.3783783783784,4.9967500000000005,
1637591240,772.3597390493942,4.99625,
1637591240,786.2686563771509,4.99275,
1637591240,813.1104266587867,4.998,
1637591241,777.3620689655172,4.99475,
1637591241,777.8501011524561,4.99525,
1637591241,816.7706680608279,4.99925,
1637591241,774.3118677971496,4.99925,
1637591241,791.0269701998045,4.9915,
1637591242,818.7227968085832,4.99075,
1637591242,858.0093878571591,4.997,
1637591242,813.8424749391949,4.9975000000000005,
1637591242,817.0146841542972,4.99625,
1637591242,847.638703884709,4.999,
1637591243,771.2616666287819,4.99775,
1637591243,781.3883345077626,4.996,
1637591243,817.136692201032,5.00025,
1637591243,773.3358034232718,5.00075,
1637591243,784.0725115359262,4.99425,
1637591244,835.5599072579729,4.99725,
1637591244,884.363125951856,4.9935,
1637591244,880.8248925965495,4.996,
1637591244,856.0572591094038,4.997,
1637591244,858.1313959038938,4.996,
1637591245,843.0023981087901,4.996,
1637591245,843.9784624826677,4.9945,
1637591245,842.636373968586,4.99375,
1637591245,898.8820835132863,4.994,
1637591245,853.1290659877708,4.995,
1637591246,771.9937149091901,4.994,
1637591246,810.9142818175619,4.99625,
1637591246,784.1945195826609,4.99575,
1637591246,775.6539563112314,4.99525,
1637591246,818.7227968085832,4.99875,
1637591247,766.5033528061283,4.99625,
1637591247,807.3760484622554,4.9967500000000005,
1637591247,778.338133339395,4.999,
1637591247,773.8238356102107,4.99425,
1637591247,816.8926761075626,4.99625,
1637591248,816.1606278271544,4.99725,
1637591248,784.0725115359262,4.997,
1637591248,778.8261655263337,4.993,
1637591248,817.990748528175,4.99475,
1637591248,777.3620689655172,4.9982500000000005,
1637591249,888.1453754006319,4.99625,
1637591249,856.0572591094038,4.99575,
1637591249,838.9761325665447,4.99475,
1637591249,856.0572591094038,4.99125,
1637591249,848.1267360716478,4.992,
1637591250,845.1985429500148,4.9915,
1637591250,858.3754119973632,4.98725,
1637591250,909.86280771941,4.99475,
1637591250,854.3491464551179,4.9965,
1637591250,842.636373968586,4.994,
1637591251,711.3557156820403,4.9945,
1637591251,737.2214215897984,4.99475,
1637591251,736.977405496329,4.99925,
1637591251,709.6476030277544,4.999,
1637591251,744.0538722069421,4.999,
1637591252,814.6965312663378,4.998,
1637591252,775.8979724047008,4.9985,
1637591252,787.9767690314368,4.99275,
1637591252,812.3783783783784,4.9967500000000005,
1637591252,775.1659241242925,4.994,
1637591253,809.4501852567454,4.99775,
1637591253,794.6872116018458,5.00125,
1637591253,774.6778919373537,4.9975000000000005,
1637591253,809.6942013502148,4.99925,
1637591253,794.0771713681722,5.00075,
1637591254,774.5558838906189,4.99775,
1637591254,793.1011069942946,4.993,
1637591254,807.132032368786,4.995,
1637591254,774.6778919373537,4.99775,
1637591254,803.1057668265406,4.996,
1637591255,779.9242379469462,4.9985,
1637591255,816.4046439206237,5.002,
1637591255,782.1203827881709,5.0040000000000004,
1637591255,771.1396585820471,4.99925,
1637591255,808.8401450230718,4.9975000000000005,
1637591256,933.6543768326779,4.995,
1637591256,928.1640147296162,4.984,
1637591256,987.0939013024799,4.98825,
1637591256,960.1301229741096,4.9895000000000005,
1637591256,939.5107630759439,4.98775,
1637591257,758.0847975814335,4.997,
1637591257,717.2121019253063,4.998,
1637591257,724.04455254245,4.9925,
1637591257,757.7187734412292,4.99525,
1637591257,714.039892710204,4.9975000000000005,
1637591258,776.2639965449049,4.996,
1637591258,787.3667287977632,4.9965,
1637591258,819.6988611824609,4.99775,
1637591258,775.5319482644967,4.99325,
1637591258,791.1489782465393,4.99175,
1637591259,808.8401450230718,4.9985,
1637591259,843.856454435933,4.99975,
1637591259,824.213158911645,5.0015,
1637591259,800.0555656581729,4.996,
1637591259,845.6865751369536,4.9975000000000005,
1637591260,830.6795853885845,4.9955,
1637591260,785.9026322369468,4.99875,
1637591260,786.7566885640897,4.99575,
1637591260,781.0223103675585,4.99475,
1637591260,824.7011910985839,4.994,
1637591261,862.2796694928738,4.995,
1637591261,862.645693633078,4.99125,
1637591261,893.2697133634897,4.9945,
1637591261,861.6696292592003,4.9967500000000005,
1637591261,871.6742890914464,4.989,
1637591262,774.0678517036802,4.99725,
1637591262,807.0100243220512,4.9955,
1637591262,793.5891391812333,4.99875,
1637591262,775.6539563112314,4.99225,
1637591262,815.5505875934808,4.99275,
1637591263,791.0269701998045,4.997,
1637591263,776.8740367785784,4.99325,
1637591263,818.9668129020527,4.99275,
1637591263,782.7304230218444,4.99575,
1637591263,783.9505034891915,4.99375,
1637591264,844.4664946696065,4.99525,
1637591264,801.1536380787853,4.9935,
1637591264,830.069545154911,4.9935,
1637591264,818.8448048553179,4.999,
1637591264,788.342793171641,4.9995,
1637591265,816.7706680608279,4.9967500000000005,
1637591265,787.8547609847021,4.99525,
1637591265,783.7064873957221,4.994,
1637591265,818.4787807151138,4.9945,
1637591265,780.2902620871503,4.99575,
1637591266,820.3089014161344,4.9967500000000005,
1637591266,780.9003023208238,4.99875,
1637591266,781.5103425544974,4.99425,
1637591266,821.6509899302162,5.00025,
1637591266,777.7280931057214,5.002,
1637591267,858.863444184302,4.99575,
1637591267,849.4688245857295,4.99875,
1637591267,836.1699474916464,4.9965,
1637591267,888.9994317277749,4.9982500000000005,
1637591267,850.4448889596073,4.9955,
1637591268,848.2487441183824,4.993,
1637591268,845.6865751369536,4.9945,
1637591268,877.5306753347123,4.99175,
1637591268,850.9522640480086,4.99475,
1637591268,859.7370430987452,4.996,
1637591269,776.7696853973449,4.997,
1637591269,786.6525618294235,4.99175,
1637591269,815.081082924168,4.996,
1637591269,775.793598836152,4.996,
1637591269,795.4373408801599,4.99525,
1637591270,773.2313716130204,4.998,
1637591270,800.561795326423,4.99325,
1637591270,801.7819035279141,4.9975000000000005,
1637591270,773.8414257137661,4.99425,
1637591270,810.8107042189488,4.99725,
1637591271,786.0425077286778,4.99625,
1637591271,778.2338152391343,4.994,
1637591271,821.1816239316239,4.996,
1637591271,783.6022913256955,4.999,
1637591271,783.6022913256955,4.99775,
1637591272,866.9356814875431,4.996,
1637591272,858.2729132569557,4.99425,
1637591272,888.4095858337879,4.9905,
1637591272,906.223165575559,4.992,
1637591272,870.8400277323149,4.99775,
1637591273,850.7082424077104,4.99875,
1637591273,871.3280710129113,4.98925,
1637591273,916.8381069285324,4.9915,
1637591273,866.5696490270957,4.9910000000000005,
1637591273,846.8038961629386,4.99225,
1637591274,773.7194148936169,4.99975,
1637591274,777.3797394980904,4.997,
1637591274,819.229450809238,4.99725,
1637591274,780.6740316421167,4.993,
1637591274,781.8941398436078,4.9925,
1637591275,808.3704878159665,4.99525,
1637591275,785.5544644480814,4.99775,
1637591275,774.3294689943625,4.9955,
1637591275,817.277277686852,4.9975000000000005,
1637591275,786.5305510092743,4.9967500000000005,
1637591276,795.0713084197126,4.9982500000000005,
1637591276,776.7696853973449,4.9935,
1637591276,817.277277686852,4.99375,
1637591276,785.1884319876341,4.99625,
1637591276,782.7482155846517,4.99375,
1637591277,784.090334606292,4.9985,
1637591277,777.1357178577922,4.9965,
1637591277,816.4232019458083,4.99775,
1637591277,778.4778368794325,5.0005,
1637591277,788.6047349518093,4.997,
1637591278,777.6237611383888,4.999,
1637591278,811.7867907801418,4.995,
1637591278,814.4710288234223,4.99975,
1637591278,772.743328332424,4.9995,
1637591278,785.1884319876341,4.9975000000000005,
1637591279,846.3158528823421,4.99425,
1637591279,861.2011729405345,4.99275,
1637591279,888.8976291143844,4.9965,
1637591279,860.1030755591925,4.9955,
1637591279,855.344653573377,4.99925,
1637591280,685.8716243862519,4.99475,
1637591280,687.2137434078923,4.99325,
1637591280,688.6778732496817,4.998,
1637591280,692.7042303146026,4.9975000000000005,
1637591280,682.821353882524,4.996,
1637591281,497.85295053646115,4.9945,
1637591281,500.1711561192943,4.9982500000000005,
1637591281,481.01545735588286,4.9975000000000005,
1637591281,484.30974949990906,4.9975000000000005,
1637591281,486.13991180214583,4.99275,
