Time(ms),Main(mA),Main Voltage(V),
1637576877,502.9983670593048,4.9925,
1637576877,505.4386851606987,4.9915,
1637576877,502.9983670593048,4.99175,
1637576877,503.8524783947927,4.99175,
1637576877,503.3644147745139,4.994,
1637576878,651.1256758139128,4.9945,
1637576878,653.810025725446,4.99775,
1637576878,652.1018030544703,4.99625,
1637576878,654.0540575355855,4.99525,
1637576878,656.0063120167006,4.99175,
1637576879,503.4864306795836,4.99775,
1637576879,504.34054201507143,4.998,
1637576879,505.0726374454896,4.9982500000000005,
1637576879,504.70658973028054,4.9985,
1637576879,502.6323193440957,4.999,
1637576880,623.7941130783015,4.99525,
1637576880,619.6455723059319,4.9915,
1637576880,624.6482244137893,4.993,
1637576880,623.7941130783015,4.99275,
1637576880,596.7065821528295,4.999,
1637576881,604.3935841722202,4.99475,
1637576881,576.5739578163301,4.99525,
1637576881,589.751675563857,4.998,
1637576881,581.4545940191178,4.994,
1637576881,577.1840373416785,4.992,
1637576882,525.4492935921285,4.99925,
1637576882,518.2503551930165,4.996,
1637576882,515.1999575662742,4.99725,
1637576882,525.9373572124072,4.99625,
1637576882,527.1575162631042,4.99975,
1637576883,689.0726222905876,4.99275,
1637576883,690.5368131514239,4.99325,
1637576883,686.5102882841239,4.99375,
1637576883,680.2874771255696,4.99375,
1637576883,681.3856202711969,4.99475,
1637576884,529.7198502695677,4.9982500000000005,
1637576884,526.6694526428254,4.99975,
1637576884,531.4280729405434,4.998,
1637576884,529.1097707442193,4.998,
1637576884,530.2079138898465,4.99775,
1637576885,701.7622764178357,4.9915,
1637576885,708.8391989118779,4.9945,
1637576885,693.9532584933753,4.996,
1637576885,681.8736838914756,4.99375,
1637576885,677.2370794988273,4.99575,
1637576886,777.6561693711851,4.99425,
1637576886,769.725135541655,4.99425,
1637576886,776.3139944154185,4.99575,
1637576886,777.290121655976,4.995,
1637576886,783.268901004391,4.99275,
1637576887,731.5341572548409,4.99225,
1637576887,729.9479504889349,4.9915,
1637576887,723.96917114052,4.99525,
1637576887,707.7410557662506,4.995,
1637576887,719.94264627322,4.99575,
1637576888,660.3988845992095,4.996,
1637576888,638.0699739714556,4.99475,
1637576888,656.1283279217703,4.992,
1637576888,638.4360216866647,4.99225,
1637576888,664.0593617513003,4.993,
1637576889,791.1999348339211,4.992,
1637576889,786.6853463463424,4.99175,
1637576889,768.7490083010974,4.9965,
1637576889,756.0593541738493,4.99225,
1637576889,786.1972827260637,4.98975,
1637576890,772.8975490734671,4.99425,
1637576890,761.1840221867765,4.99425,
1637576890,747.2742090088313,4.99325,
1637576890,753.9850837876645,4.99425,
1637576890,780.0964874725789,4.9945,
1637576891,639.7781966424313,4.994,
1637576891,624.1601607935106,4.9965,
1637576891,620.2556518312804,4.99775,
1637576891,623.7941130783015,4.99725,
1637576891,625.1362880340681,4.99325,
1637576892,740.0752706097195,4.9975000000000005,
1637576892,686.0222246638452,4.99925,
1637576892,678.2132067393849,4.994,
1637576892,725.4333620013563,4.98925,
1637576892,741.5394614705558,4.9905,
1637576893,714.2078987349445,4.99375,
1637576893,704.9346899496477,4.9895000000000005,
1637576893,716.770232741408,4.993,
1637576893,702.8604195634629,4.99075,
1637576893,742.5155887111133,4.99475,
1637576894,721.2848212289866,4.99325,
1637576894,712.8657237791778,4.99275,
1637576894,694.6853539237934,4.995,
1637576894,703.5925149938811,4.99075,
1637576894,714.8179782602929,4.996,
1637576895,580.6004826836299,5.0062500000000005,
1637576895,579.6243554430724,5.00425,
1637576895,600.7331070201294,5.00175,
1637576895,605.8577750330566,4.9945,
1637576895,668.0858866186003,4.99575,
1637576896,710.9134692980628,4.9915,
1637576896,725.3113460962866,4.9935,
1637576896,723.4811075202412,4.9945,
1637576896,713.2317714943869,4.99375,
1637576896,701.5182446076963,4.99325,
1637576897,784.7330918652274,4.99125,
1637576897,806.4519229676328,4.988,
1637576897,828.7808335953868,4.98675,
1637576897,807.9161138284691,4.98825,
1637576897,797.0566982772664,4.99075,
1637576898,687.3643996196118,4.99575,
1637576898,690.902860866633,4.9975000000000005,
1637576898,733.8524594511651,4.9965,
1637576898,743.3697000466012,4.9945,
1637576898,736.7808411728378,4.9885,
1637576899,701.5182446076963,4.99125,
1637576899,714.2078987349445,4.99325,
1637576899,721.1628053239169,4.99525,
1637576899,708.7171830068082,4.99525,
1637576899,694.6853539237934,4.992,
1637576900,646.6110873263342,4.99525,
1637576900,643.0726260793131,4.9935,
1637576900,641.9744829336859,4.9945,
1637576900,642.706578364104,4.99375,
1637576900,643.1946419843828,4.9955,
1637576901,688.7065745753785,4.994,
1637576901,683.9479542776604,4.993,
1637576901,695.0514016390025,4.9935,
1637576901,686.0222246638452,4.99525,
1637576901,693.7092266832359,4.99475,
1637576902,701.3962287026266,4.9975000000000005,
1637576902,687.1203678094724,4.99775,
1637576902,695.5394652592813,4.99475,
1637576902,686.6323041891936,4.99575,
1637576902,695.661481164351,4.99425,
1637576903,698.7118787910933,4.993,
1637576903,737.6349525083256,4.992,
1637576903,726.8975528621926,4.99575,
1637576903,717.3803122667565,4.98975,
1637576903,715.6720895957808,4.99475,
1637576904,691.2689085818421,4.988,
1637576904,733.2423799258166,4.993,
1637576904,678.7012703596636,4.9975000000000005,
1637576904,644.6588328452191,4.9995,
1637576904,634.7755445345739,4.998,
1637576905,761.9161176171946,4.98775,
1637576905,792.0540461694089,4.9935,
1637576905,746.1760658632041,4.994,
1637576905,751.3007338761313,4.995,
1637576905,758.3776563701736,4.9965,
1637576906,711.5235488234111,4.99425,
1637576906,716.0381373109898,4.99375,
1637576906,759.353783610731,4.98925,
1637576906,760.4519267563583,4.9905,
1637576906,727.0195687672623,4.9910000000000005,
1637576907,702.7384036583933,4.9967500000000005,
1637576907,644.4148010350797,4.9985,
1637576907,633.555385483877,5.00125,
1637576907,571.0832420881939,5.00075,
1637576907,581.5766099241874,4.9967500000000005,
1637576908,780.462535187788,4.9885,
1637576908,783.7569646246698,4.9865,
1637576908,778.3882648016032,4.9935,
1637576908,753.8630678825948,4.99325,
1637576908,755.3272587434311,4.99175,
1637576909,740.3193024198589,4.99325,
1637576909,748.6163839645981,4.99,
1637576909,761.6720858070553,4.9895000000000005,
1637576909,768.8710242061671,4.993,
1637576909,767.1628015351914,4.9967500000000005,
1637576911,624.8922562239287,4.99625,
1637576911,535.942661428122,4.9985,
1637576911,518.3723710980862,4.99625,
1637576911,530.8179934151949,4.9965,
1637576911,520.9347051045497,4.99525,
1637576912,723.96917114052,4.99325,
1637576912,748.250336249389,4.989,
1637576912,784.6110759601577,4.9902500000000005,
1637576912,764.966515243937,4.99275,
1637576912,782.4147896689032,4.98975,
1637576913,599.7569797795718,4.99925,
1637576913,604.1495523620808,5.0,
1637576913,614.5209042930047,4.99225,
1637576913,651.1256758139128,4.998,
1637576913,615.2529997234229,4.999,
1637576914,602.1972978809657,4.9985,
1637576914,613.1787293372381,4.995,
1637576914,671.0142683402729,4.99525,
1637576914,668.0858866186003,4.9982500000000005,
1637576914,680.4094930306393,4.99475,
1637576915,724.2132029506593,4.994,
1637576915,702.6163877533236,4.99325,
1637576915,693.5872107781662,4.99225,
1637576915,706.5208967155537,4.98975,
1637576915,729.2158550585167,4.99225,
1637576916,780.462535187788,4.988,
1637576916,763.1362766678916,4.9910000000000005,
1637576916,766.7967538199823,4.9902500000000005,
1637576916,776.9240739407669,4.9935,
1637576916,757.2795132245462,4.99075,
1637576917,625.3803198442075,4.99925,
1637576917,633.3113536737376,4.9955,
1637576917,646.1230237060554,4.99425,
1637576917,652.9559143899583,4.99725,
1637576917,640.0222284525707,4.9965,
1637576918,671.1362842453426,4.9925,
1637576918,652.22381895954,4.99275,
1637576918,647.2211668516826,4.99125,
1637576918,646.0010078009857,4.9910000000000005,
1637576918,658.6906619282338,4.9895000000000005,
1637576919,665.2795208019973,4.992,
1637576919,656.7384074471188,4.9905,
1637576919,659.9108209789308,4.995,
1637576919,672.7224910112486,4.99425,
1637576919,658.5686460231642,4.99125,
1637576920,798.7649209482421,4.993,
1637576920,778.6322966117426,4.988,
1637576920,803.7675730560995,4.988,
1637576920,807.6720820183298,4.9910000000000005,
1637576920,801.0832231445663,4.99375,
1637576921,798.2768573279633,4.99225,
1637576921,785.0991395804364,4.995,
1637576921,751.5447656862707,4.992,
1637576921,762.6482130476128,4.9935,
1637576921,741.7834932806952,4.99075,
1637576922,627.5766061354619,4.994,
1637576922,644.9028646553585,4.99575,
1637576922,634.1654650092254,4.9955,
1637576922,643.1946419843828,4.993,
1637576922,645.0248805604282,4.992,
1637576923,722.0169166594048,4.99475,
1637576923,696.6376084049085,4.99125,
1637576923,725.6773938114957,4.9935,
1637576923,704.446626329369,4.993,
1637576923,728.727791438238,4.993,
1637576924,703.3484831837417,4.9925,
1637576924,723.2370757101017,4.998,
1637576924,653.077930295028,4.99975,
1637576924,625.1362880340681,4.9945,
1637576924,631.1150673824831,4.999,
1637576925,779.9744715675092,4.99425,
1637576925,766.918769725052,4.9925,
1637576925,793.1521893150361,4.99325,
1637576925,771.0673104974217,4.99725,
1637576925,741.4174455654861,4.9935,
1637576926,709.3272625321567,4.99575,
1637576926,708.1071034814597,4.99225,
1637576926,729.5819027737258,4.9935,
1637576926,713.7198351146657,4.9915,
1637576926,709.0832307220173,4.99225,
1637576927,693.4651948730965,4.99325,
1637576927,704.446626329369,4.993,
1637576927,697.3697038353267,4.9945,
1637576927,693.8312425883056,4.994,
1637576927,711.0354852031323,4.9915,
1637576928,712.3776601588991,4.988,
1637576928,751.9108134014798,4.99075,
1637576928,712.3776601588991,4.992,
1637576928,658.9346937383732,4.99225,
1637576928,652.9559143899583,4.9955,
1637576929,786.8073622514121,4.9902500000000005,
1637576929,772.2874695481186,4.9915,
1637576929,770.091183256864,4.9905,
1637576929,774.8498035545822,4.99125,
1637576929,781.6826942384849,4.9925,
1637576930,704.2025945192296,4.9905,
1637576930,733.6084276410257,4.992,
1637576930,709.0832307220173,4.994,
1637576930,714.0858828298748,4.9975000000000005,
1637576930,701.7622764178357,4.99575,
1637576931,646.1230237060554,4.9935,
1637576931,635.2636081548527,4.993,
1637576931,656.8604233521885,4.994,
1637576931,654.2980893457249,4.99075,
1637576931,676.9930476886879,4.9925,
1637576932,649.9055167632159,4.99875,
1637576932,636.8498149207587,4.997,
1637576932,656.1283279217703,4.9887500000000005,
1637576932,705.7888012851356,4.99175,
1637576932,643.6827056046616,4.99275,
1637576933,543.6296634475128,4.995,
1637576933,569.2530035121484,4.998,
1637576933,537.2848363838888,4.99725,
1637576933,540.8232976309098,4.9985,
1637576933,533.0142797064494,4.9995,
1637576934,774.9718194596518,4.98825,
1637576934,818.4094816644628,4.994,
1637576934,739.2211592742316,4.99475,
1637576934,712.01161244369,4.9902500000000005,
1637576934,738.7330956539529,4.9902500000000005,
1637576935,712.6216919690385,4.9910000000000005,
1637576935,717.1362804566171,4.9982500000000005,
1637576935,702.8604195634629,4.994,
1637576935,721.6508689441957,4.997,
1637576935,703.1044513736023,4.99225,
1637576936,706.5208967155537,4.99375,
1637576936,697.7357515505358,4.9935,
1637576936,715.6720895957808,4.9945,
1637576936,711.2795170132717,4.994,
1637576936,703.3484831837417,4.9902500000000005,
1637576937,784.2450282449486,4.99425,
1637576937,773.3856126937458,4.99325,
1637576937,776.1919785103488,4.9945,
1637576937,782.5368055739729,4.99275,
1637576937,779.2423761370911,4.9902500000000005,
1637576938,773.5076285988155,4.99275,
1637576938,793.7622688403846,4.994,
1637576938,761.9161176171946,4.992,
1637576938,785.3431713905758,4.993,
1637576938,781.4386624283457,4.99325,
1637576939,636.1177194903405,4.99075,
1637576939,637.9479580663859,4.99175,
1637576939,622.3299222174652,4.99225,
1637576939,631.7251469078316,4.992,
1637576939,626.356447084765,4.99225,
1637576940,685.1681133283573,4.99175,
1637576940,705.9108171902053,4.99175,
1637576940,710.6694374879233,4.98775,
1637576940,751.5447656862707,4.9915,
1637576940,736.4147934576287,4.987,
1637576941,605.7357591279869,5.00525,
1637576941,627.8206379456013,4.9955,
1637576941,680.2874771255696,4.998,
1637576941,679.0673180748727,4.99975,
1637576941,695.2954334491419,4.99725,
1637576942,706.398880810484,4.9915,
1637576942,700.420101462069,4.9905,
1637576942,712.6216919690385,4.99125,
1637576942,714.3299146400141,4.98775,
1637576942,736.4147934576287,4.99375,
1637576943,742.5155887111133,4.98925,
1637576943,738.8551115590226,4.992,
1637576943,733.486411735956,4.993,
1637576943,731.6561731599106,4.989,
1637576943,730.5580300142834,4.9902500000000005,
1637576944,772.6535172633277,4.9975000000000005,
1637576944,755.6933064586402,4.99175,
1637576944,818.2874657593931,4.992,
1637576944,790.1017916882938,4.98975,
1637576944,787.2954258716909,4.99725,
1637576945,696.1495447846298,4.9902500000000005,
1637576945,709.8153261524354,4.99,
1637576945,729.5819027737258,4.9955,
1637576945,707.2529921459719,4.9955,
1637576945,703.7145308989508,4.99525,
1637576946,789.3696962578757,4.99375,
1637576946,758.987735895522,4.995,
1637576946,784.489060055088,4.9925,
1637576946,811.5765909805599,4.99325,
1637576946,785.0991395804364,4.99,
1637576947,832.0752630322685,4.994,
1637576947,818.0434339492537,4.99325,
1637576947,826.8285791142716,4.9955,
1637576947,827.43865863962,4.99475,
1637576947,813.8948931768841,4.9915,
1637576948,770.2131991619337,4.9967500000000005,
1637576948,763.0142607628219,4.996,
1637576948,753.9850837876645,4.993,
1637576948,776.5580262255578,4.99375,
1637576948,757.0354814144068,4.9935,
1637576949,752.3988770217585,4.9925,
1637576949,722.2609484695442,4.9935,
1637576949,705.1787217597871,4.997,
1637576949,717.6243440768958,4.994,
1637576949,742.8816364263224,4.996,
1637576950,697.6137356454661,4.993,
1637576950,699.0779265063024,4.99325,
1637576950,698.3458310758842,4.995,
1637576950,702.2503400381145,4.995,
1637576950,703.1044513736023,4.995,
1637576951,816.0911794681385,4.9905,
1637576951,785.4651872956455,4.98725,
1637576951,800.8391913344269,4.98575,
1637576951,813.4068295566053,4.98625,
1637576951,807.7940979233994,4.9910000000000005,
1637576952,754.4731474079433,4.992,
1637576952,730.8020618244227,4.989,
1637576952,759.9638631360796,4.99475,
1637576952,739.5872069894407,4.99425,
1637576952,736.0487457424196,4.9955,
