Time(ms),Main(mA),Main Voltage(V),
1638570766,372.251079447323,5.49375,
1638570766,373.95876511226254,5.4990000000000006,
1638570766,374.2027202072539,5.49775,
1638570766,374.69063039723665,5.49625,
1638570766,372.8609671848014,5.49725,
1638570767,611.2050949913645,5.4985,
1638570767,619.9874784110535,5.4985,
1638570767,621.0852763385147,5.49875,
1638570767,622.6135745612374,5.497,
1638570767,641.2751497890456,5.496,
1638570768,617.2468470447436,5.49975,
1638570768,604.3179125731903,5.497,
1638570768,610.416466569206,5.49725,
1638570768,625.2969383194844,5.4990000000000006,
1638570768,605.0497390527122,5.496,
1638570769,949.008184427999,5.49625,
1638570769,940.2262666737364,5.498,
1638570769,926.6874768025815,5.49575,
1638570769,923.6381998045737,5.4902500000000005,
1638570769,943.6414569115052,5.4902500000000005,
1638570770,602.9762306940668,5.502,
1638570770,598.8292139767761,5.5,
1638570770,604.4398836531105,5.4967500000000005,
1638570770,617.3688181246639,5.5005,
1638570770,604.5618547330309,5.50225,
1638570771,539.1853558957423,5.49475,
1638570771,572.6054317939085,5.494,
1638570771,547.8453025700846,5.4982500000000005,
1638570771,521.4995493072968,5.49725,
1638570771,520.6457517478545,5.5,
1638570772,569.5561547959006,5.50375,
1638570772,554.3097698058614,5.50025,
1638570772,564.1894272794068,5.4982500000000005,
1638570772,583.4608579068165,5.49975,
1638570772,578.216101470243,5.49525,
1638570773,405.13913906331663,5.497,
1638570773,415.50668085654337,5.496,
1638570773,407.09067634204166,5.496,
1638570773,407.82250282156355,5.49975,
1638570773,417.82413137502937,5.5040000000000004,
1638570774,639.5675546701611,5.5045,
1638570774,711.8964050629077,5.5025,
1638570774,676.6467629659368,5.4995,
1638570774,660.7905225762959,5.49775,
1638570774,664.4496549739054,5.4982500000000005,
1638570775,690.4294949969324,5.494,
1638570775,657.6192744983678,5.4925,
1638570775,662.8640309349412,5.4885,
1638570775,663.5958574144631,5.49075,
1638570775,658.4730720578099,5.495,
1638570776,455.75713723024717,5.50875,
1638570776,459.90415394753785,5.5055000000000005,
1638570776,457.9526166688128,5.508,
1638570776,458.4405009884941,5.509,
1638570776,459.29429854793625,5.507,
1638570777,861.0670358054523,5.49125,
1638570777,822.5241745506329,5.5035,
1638570777,687.7461312386854,5.50575,
1638570777,743.4869147622691,5.50125,
1638570777,747.3899893197192,5.4995,
1638570778,715.1896242207562,5.49975,
1638570778,720.190438497489,5.50025,
1638570778,718.8487566183655,5.4982500000000005,
1638570778,698.479586271673,5.5015,
1638570778,692.0151190358964,5.49875,
1638570779,537.9656450965392,5.49975,
1638570779,532.5989175800454,5.5035,
1638570779,532.2330043402844,5.50175,
1638570779,536.9898764571767,5.50375,
1638570779,535.7701656579735,5.503,
1638570780,618.1006446041858,5.49375,
1638570780,664.2057128140647,5.49075,
