Time(ms),Main(mA),Main Voltage(V),
1638572615,373.615812896506,5.4995,
1638572615,374.1037212385191,5.501,
1638572615,373.0059274689897,5.501,
1638572615,373.12790455449294,5.498,
1638572615,374.1037212385191,5.4967500000000005,
1638572616,607.6898399772749,5.50075,
1638572616,615.3743963639806,5.49175,
1638572616,675.387122431588,5.4967500000000005,
1638572616,620.0742276709123,5.49775,
1638572616,614.5855498619521,5.50025,
1638572617,597.6316339631645,5.4955,
1638572617,615.6832854237442,5.4985,
1638572617,595.6801040755342,5.50025,
1638572617,593.8505448058809,5.4995,
1638572617,593.9725154238578,5.4967500000000005,
1638572618,616.0491972776748,5.495,
1638572618,603.6081942440321,5.498,
1638572618,602.1445468283094,5.49975,
1638572618,622.3916694124731,5.49725,
1638572618,632.7591719405087,5.502,
1638572619,610.5605194687148,5.49775,
1638572619,609.7067251428766,5.49975,
1638572619,612.7559905922989,5.495,
1638572619,602.6324293002169,5.4982500000000005,
1638572619,606.5354890754775,5.498,
1638572620,539.9395316600957,5.49925,
1638572620,549.8191517162237,5.50325,
1638572620,539.0857373342574,5.5015,
1638572620,545.9160919409633,5.49925,
1638572620,542.7448558735641,5.4990000000000006,
1638572621,593.9725154238578,5.4955,
1638572621,586.6542783452444,5.49625,
1638572621,574.2132753116017,5.4965,
1638572621,587.3861020531058,5.498,
1638572621,593.1187210980196,5.495,
1638572622,402.2347039641871,5.49975,
1638572622,410.16279413268495,5.50075,
1638572622,410.04082351470805,5.4995,
1638572622,400.8930271664413,5.49775,
1638572622,415.0416188517605,5.49725,
1638572623,688.7436855919011,5.4975000000000005,
1638572623,722.0416642995921,5.49925,
1638572623,706.6733664345039,5.50525,
1638572623,667.1548862099917,5.5015,
1638572623,707.2832195243884,5.4967500000000005,
1638572624,635.4425255360003,5.49,
1638572624,661.7881790190086,5.49,
1638572624,707.6491313783191,5.49075,
1638572624,704.7218365468738,5.4895000000000005,
1638572624,712.2840148614409,5.4935,
1638572625,734.2387260972811,5.48675,
1638572625,736.9220796927726,5.49725,
1638572625,659.2267960414938,5.4975000000000005,
1638572625,671.3018872212059,5.4935,
1638572625,698.2573937940986,5.4905,
1638572626,558.7230068285367,5.50025,
1638572626,525.4250281208458,5.4982500000000005,
