Time(ms),Main(mA),Main Voltage(V),
1638570377,371.4314797910741,5.498,
1638570377,373.3831722957234,5.4965,
1638570377,374.23703776650746,5.4967500000000005,
1638570377,374.359018548048,5.4975000000000005,
1638570377,373.9930762034263,5.4967500000000005,
1638570378,619.5403894446191,5.4925,
1638570378,639.5452376172747,5.49475,
1638570378,626.00537086627,5.50075,
1638570378,616.8568122507263,5.49775,
1638570378,634.4220447925702,5.49925,
1638570379,592.3383921402276,5.4982500000000005,
1638570379,592.3383921402276,5.50025,
1638570379,598.8031042162195,5.50025,
1638570379,598.8031042162195,5.497,
1638570379,591.6065379429455,5.4945,
1638570380,624.7839282197342,5.497,
1638570380,634.7859355825897,5.4995,
1638570380,626.6135637129395,5.4985,
1638570380,625.6377581165634,5.4965,
1638570380,629.1750534034269,5.49625,
1638570381,611.3666012695624,5.498,
1638570381,615.879702152802,5.4965,
1638570381,613.0742610632205,5.50025,
1638570381,601.3645939067069,5.502,
1638570381,612.8303096641265,5.49925,
1638570382,571.3585718181405,5.49425,
1638570382,567.6993008317299,5.4967500000000005,
1638570382,569.7728877240293,5.495,
1638570382,571.1146204190464,5.4990000000000006,
1638570382,570.9926447194995,5.4967500000000005,
1638570383,551.8424598906176,5.498,
1638570383,565.1378111412425,5.5,
1638570383,550.1348000969595,5.50025,
1638570383,553.916046782917,5.50075,
1638570383,550.9886299937885,5.4985,
1638570384,580.7507006832609,5.49975,
1638570384,523.3001461966155,5.4975000000000005,
1638570384,526.715465783932,5.4967500000000005,
1638570384,526.2275629857439,5.495,
1638570384,520.25075370794,5.49875,
1638570385,585.7517043646886,5.498,
1638570385,558.6730990652507,5.50375,
1638570385,564.6499083430546,5.49925,
1638570385,561.722491553926,5.5,
1638570385,549.8908486978654,5.4982500000000005,
1638570386,763.2263472055994,5.4975000000000005,
1638570386,764.3241285015225,5.50025,
1638570386,752.6144613450089,5.5005,
1638570386,706.5076469162361,5.4975000000000005,
1638570386,742.8564053812474,5.49325,
1638570387,656.3756344024118,5.4902500000000005,
1638570387,662.7183707788568,5.488,
1638570387,618.9290946414774,5.4995,
1638570387,569.7728877240293,5.503,
1638570387,556.1116093747632,5.50075,
1638570388,631.1266645961792,5.495,
1638570388,642.1044775554108,5.494,
1638570388,609.293014377263,5.5,
1638570388,561.722491553926,5.498,
1638570388,591.9724650415865,5.4965,
1638570389,571.4805475176875,5.5062500000000005,
1638570389,548.0612132046601,5.5035,
1638570389,555.2577794779342,5.5040000000000004,
1638570389,548.3051646037542,5.5025,
1638570389,551.5985084915236,5.5055000000000005,
1638570390,844.2182117048192,5.492,
1638570390,797.1355916796704,5.5015,
1638570390,697.3594694502099,5.49575,
1638570390,697.1155180511158,5.4990000000000006,
1638570390,662.1084922811217,5.50025,
1638570391,686.9915349887133,5.49425,
1638570391,686.1377050918842,5.49275,
1638570391,732.0005681215629,5.49625,
1638570391,675.8917463299347,5.49325,
1638570391,741.7586240853243,5.48325,
1638570392,718.2173140727499,5.49625,
1638570392,603.0722537003651,5.50125,
1638570392,564.1620055448665,5.492,
1638570392,576.4815511991152,5.49875,
1638570392,533.912032057206,5.49775,
1638570393,783.5962890299513,5.496,
1638570393,700.8967647370733,5.508,
1638570393,575.017842804551,5.508,
1638570393,587.4593641583468,5.51075,
1638570393,545.1337964155317,5.5105,
1638570394,670.6467912494129,5.496,
1638570394,754.2001454391201,5.49375,
1638570394,741.0267698880422,5.502,
1638570394,653.8141447119245,5.50425,
1638570394,649.1790681291378,5.5040000000000004,
1638570395,546.3535534110018,5.498,
1638570395,571.3585718181405,5.49575,
1638570395,586.8494856606118,5.49075,
1638570395,590.3867809474752,5.4982500000000005,
1638570395,553.0622168860879,5.49525,
1638570396,454.38387595255045,5.508,
1638570396,447.4312610783705,5.50775,
1638570396,447.6752124774645,5.50975,
1638570396,446.21150408290026,5.50375,
1638570396,478.779015861954,5.502,
1638570397,460.9705637280894,5.5040000000000004,
1638570397,573.0662316117987,5.514,
1638570397,454.38387595255045,5.5127500000000005,
1638570397,448.65101807384065,5.51,
1638570397,452.92016755798625,5.5075,
1638570398,577.4573567954914,5.501,
1638570398,589.2889996515521,5.501,
1638570398,576.3595754995682,5.498,
1638570398,615.2698236550668,5.4990000000000006,
1638570398,588.801096853364,5.49,
1638570399,589.5329510506461,5.4990000000000006,
1638570399,559.0390261638917,5.493,
1638570399,679.7949687154393,5.49,
1638570399,680.0389201145333,5.4982500000000005,
1638570399,592.3383921402276,5.50025,
1638570400,577.4573567954914,5.501,
1638570400,587.4593641583468,5.497,
1638570400,607.0974517854166,5.497,
1638570400,619.2950217401185,5.492,
1638570400,630.8827131970852,5.4935,
1638570401,744.3201137758117,5.497,
1638570401,686.3816564909782,5.5005,
1638570401,663.8161520747799,5.49875,
1638570401,690.4068545760298,5.4995,
1638570401,683.2102883027558,5.49375,
1638570402,715.2898972836215,5.497,
1638570402,721.6326336600664,5.49725,
1638570402,746.1497492690169,5.498,
1638570402,708.4592581089885,5.49475,
1638570402,706.1417198175951,5.495,
1638570403,558.9170504643447,5.49725,
1638570403,596.8514930234672,5.494,
1638570403,597.4613715212023,5.4895000000000005,
1638570403,621.2466329328707,5.49625,
1638570403,581.848481979184,5.497,
1638570404,559.5269289620798,5.50275,
1638570404,525.1297816898208,5.50125,
