Time(ms),Main(mA),Main Voltage(V),
1638568891,371.81900166275915,5.49625,
1638568891,372.91682038035145,5.49525,
1638568891,371.5750419477386,5.493,
1638568891,373.52671966790274,5.495,
1638568891,373.52671966790274,5.4990000000000006,
1638568892,606.2642877974691,5.5005,
1638568892,618.3402936909844,5.4990000000000006,
1638568892,612.851200103023,5.498,
1638568892,624.317306708987,5.498,
1638568892,616.0226763982896,5.49425,
1638568893,603.0928115022026,5.4965,
1638568893,595.8959999090976,5.5,
1638568893,595.4080804790565,5.5005,
1638568893,593.0904631863616,5.5005,
1638568893,592.2366041837898,5.5,
1638568894,604.6785496498359,5.5155,
1638568894,609.6797238077563,5.51575,
1638568894,616.2666361133101,5.51925,
1638568894,610.8995223828589,5.5215000000000005,
1638568894,611.7533813854307,5.5185,
1638568895,647.2495199209148,5.4985,
1638568895,646.0297213458123,5.4982500000000005,
1638568895,625.293145569069,5.4975000000000005,
1638568895,604.3126100773051,5.49775,
1638568895,624.9272059965382,5.5,
1638568896,564.1812369564312,5.49625,
1638568896,550.1535533427519,5.498,
1638568896,556.2525462182647,5.4965,
1638568896,546.372177759934,5.49975,
1638568896,551.9832512054057,5.50025,
1638568897,533.8082524363778,5.49875,
1638568897,542.7127820346263,5.49925,
1638568897,547.2260367625058,5.4982500000000005,
1638568897,547.5919763350365,5.4965,
1638568897,562.3515390937774,5.493,
1638568898,642.8582450505456,5.496,
1638568898,619.5600922660869,5.49375,
1638568898,600.5312344944872,5.49075,
1638568898,648.1033789234866,5.4975000000000005,
1638568898,603.8246906472641,5.496,
1638568899,427.56379654494566,5.5,
1638568899,445.73879531397364,5.4995,
1638568899,447.2025536040967,5.5,
1638568899,447.0805737465865,5.497,
1638568899,449.27621118177103,5.49425,
1638568900,526.3674811282522,5.49425,
1638568900,646.0297213458123,5.5125,
1638568900,598.5795567743231,5.5045,
1638568900,564.7911362439825,5.5035,
1638568900,529.4169775660085,5.50375,
1638568901,536.0038898715624,5.49725,
1638568901,535.8819100140521,5.498,
1638568901,527.5872797033547,5.4985,
1638568901,536.9797287316444,5.501,
1638568901,547.1040569049956,5.50125,
1638568902,571.5000284070466,5.49425,
1638568902,569.7923104019029,5.498,
1638568902,573.5736859847209,5.4995,
1638568902,562.3515390937774,5.4975000000000005,
1638568902,616.1446562557999,5.497,
1638568903,569.5483506868825,5.4955,
1638568903,571.9879478370875,5.49475,
1638568903,565.8889549615748,5.49775,
1638568903,571.6220082645568,5.4990000000000006,
1638568903,570.768149261985,5.4990000000000006,
1638568904,563.0834182388389,5.4982500000000005,
1638568904,535.1500308689905,5.5,
1638568904,529.4169775660085,5.502,
1638568904,540.8830841719725,5.4985,
1638568904,536.369829444093,5.49875,
1638568905,574.1835852722721,5.4985,
1638568905,569.4263708293722,5.49725,
1638568905,574.9154644173336,5.4985,
1638568905,573.8176456997413,5.498,
1638568905,568.3285521117799,5.4965,
1638568906,563.2053980963492,5.496,
1638568906,566.7428139641465,5.50175,
1638568906,560.3998613736134,5.49775,
1638568906,566.1329146765953,5.49625,
1638568906,562.2295592362672,5.49475,
1638568907,634.5636147398483,5.49575,
1638568907,592.9684833288513,5.498,
1638568907,606.2642877974691,5.5,
1638568907,604.5565697923256,5.498,
1638568907,614.9248576806973,5.49525,
1638568908,804.1156166791027,5.49325,
1638568908,716.4120991292294,5.49425,
1638568908,698.4810600752219,5.4955,
1638568908,695.7975032099963,5.496,
1638568908,702.3844155155501,5.4967500000000005,
1638568909,573.5736859847209,5.50275,
1638568909,576.7451622799874,5.50425,
1638568909,567.8406326817388,5.50075,
1638568909,574.1835852722721,5.4982500000000005,
1638568909,569.5483506868825,5.501,
1638568910,769.5953170037005,5.5035,
1638568910,708.4834083910629,5.50075,
1638568910,739.4662921986676,5.49875,
1638568910,735.80689647336,5.4955,
1638568910,744.1015267840573,5.4915,
1638568911,911.3359114306169,5.50325,
1638568911,813.1421261348615,5.4990000000000006,
1638568911,826.4379306034793,5.4945,
1638568911,844.7349092300176,5.49625,
1638568911,816.9235017176795,5.5,
1638568912,595.2861006215462,5.503,
1638568912,595.652040194077,5.50225,
1638568912,586.1376113082771,5.5062500000000005,
1638568912,587.8453293134207,5.5015,
1638568912,634.6855945973585,5.49775,
1638568913,502.9473484862832,5.50125,
1638568913,477.941477696681,5.50375,
1638568913,481.47889356447837,5.5047500000000005,
1638568913,482.33275256705014,5.50025,
1638568913,498.6780534734243,5.4982500000000005,
1638568914,468.30506895337084,5.4965,
1638568914,486.2361080073783,5.4925,
1638568914,487.8218461550116,5.496,
1638568914,487.2119468674603,5.4975000000000005,
1638568914,487.5778864399911,5.501,
1638568915,450.6179896143839,5.5015,
1638568915,428.66161526253796,5.497,
1638568915,442.9332585912378,5.5015,
1638568915,452.3257076195274,5.5015,
1638568915,447.6904730341377,5.505,
1638568916,977.3270143436648,5.48675,
1638568916,930.6087289172372,5.4855,
1638568916,982.8161079316262,5.485,
1638568916,990.3788590972621,5.49575,
1638568916,845.1008488025484,5.4885,
1638568917,896.8203083868965,5.49575,
1638568917,846.1986675201407,5.4895000000000005,
1638568917,875.2298736075813,5.4915,
1638568917,919.508561883804,5.48725,
1638568917,934.2681246425448,5.5,
1638568918,709.9471666811859,5.49075,
1638568918,814.3619247099641,5.49575,
1638568918,773.7426321590492,5.50275,
1638568918,721.4132732871499,5.497,
1638568918,769.2293774311698,5.5005,
1638568919,751.2983383771623,5.49575,
1638568919,745.9312246467111,5.49875,
1638568919,737.758574193524,5.501,
1638568919,739.8322317711984,5.49925,
1638568919,745.0773656441394,5.49375,
1638568920,744.2235066415675,5.4967500000000005,
1638568920,721.0473337146191,5.4967500000000005,
1638568920,827.5357493210716,5.4905,
1638568920,805.0914555391847,5.49725,
1638568920,743.003708066465,5.49975,
1638568921,837.5380976369125,5.4915,
1638568921,928.7790310545832,5.48925,
1638568921,893.7708119491401,5.476,
1638568921,1016.604528461967,5.49225,
1638568921,832.1709839064614,5.49475,
1638568922,736.1728360458907,5.49425,
1638568922,743.8575670690368,5.4985,
1638568922,711.6548846863295,5.5,
1638568922,757.8852506827161,5.49875,
1638568922,790.5758524954645,5.5,
1638568923,718.2417969918832,5.5065,
1638568923,714.2164616940448,5.50825,
1638568923,726.4144474450703,5.50925,
1638568923,733.3672993231548,5.4985,
1638568923,844.2469897999766,5.4990000000000006,
1638568924,735.4409569008292,5.4985,
1638568924,732.8793798931139,5.5,
1638568924,721.1693135721293,5.5005,
1638568924,726.0485078725395,5.4982500000000005,
1638568924,733.6112590381754,5.495,
1638568925,817.655380862741,5.4982500000000005,
1638568925,803.3837375340412,5.496,
1638568925,799.968301523754,5.49875,
1638568925,766.911760138475,5.5035,
1638568925,714.2164616940448,5.495,
1638568926,783.7449804748901,5.4915,
1638568926,842.539271794833,5.4887500000000005,
1638568926,861.0802101363918,5.4915,
1638568926,822.6565550206615,5.49175,
1638568926,809.3607505520437,5.4955,
1638568927,782.6471617572979,5.4875,
1638568927,804.4815562516335,5.4935,
1638568927,736.4167957609112,5.49725,
1638568927,750.4444793745905,5.49325,
1638568927,752.1521973797342,5.49225,
1638568928,748.2488419394059,5.4967500000000005,
1638568928,744.1015267840573,5.497,
1638568928,748.1268620818958,5.49475,
1638568928,748.9807210844675,5.5005,
1638568928,734.2211583257266,5.492,
1638568929,731.1716618879702,5.50075,
1638568929,747.8829023668752,5.49425,
1638568929,808.8728311220027,5.498,
1638568929,756.9094118226341,5.49525,
1638568929,791.1857517830157,5.49925,
1638568930,764.9600824183109,5.507,
1638568930,745.0773656441394,5.50325,
1638568930,726.4144474450703,5.4945,
1638568930,860.3483309913303,5.5040000000000004,
1638568930,758.3731701127571,5.501,
1638568931,818.9971592953539,5.49975,
1638568931,826.9258500335204,5.49575,
1638568931,838.6359163545048,5.49625,
1638568931,833.1468227665434,5.50225,
1638568931,751.0543786621419,5.507,
1638568932,890.355375938853,5.502,
1638568932,819.4850787253948,5.49575,
1638568932,879.1332290479095,5.49925,
1638568932,879.8651081929711,5.49775,
1638568932,882.4266852006864,5.4910000000000005,
1638568933,793.1374295031798,5.497,
1638568933,787.8922956302388,5.4895000000000005,
1638568933,883.8904434908095,5.49175,
1638568933,891.2092349414248,5.48675,
1638568933,970.4961423230905,5.48925,
1638568934,742.7597483514445,5.49925,
1638568934,748.6147815119367,5.496,
1638568934,754.1038750998982,5.49525,
1638568934,709.8251868236756,5.495,
1638568934,750.2005196595701,5.49375,
1638568935,650.5429760736918,5.4910000000000005,
1638568935,697.7491809301604,5.49375,
1638568935,640.9065673303816,5.495,
1638568935,628.9525412943766,5.497,
1638568935,616.5105958283306,5.4995,
1638568936,614.802877823187,5.50075,
1638568936,649.2011976410789,5.49075,
1638568936,701.1646169404476,5.50175,
1638568936,637.1251917475637,5.50225,
1638568936,623.9513671364562,5.4985,
1638568937,538.0775474492367,5.49725,
1638568937,550.6414727727929,5.50075,
1638568937,538.0775474492367,5.4965,
1638568937,542.9567417496469,5.49525,
1638568937,537.1017085891547,5.498,
1638568938,403.77772433044595,5.49875,
1638568938,406.5832610531818,5.4995,
1638568938,412.1943344986535,5.5015,
1638568938,415.48779065143043,5.5,
1638568938,415.8537302239612,5.496,
1638568939,521.3663069703317,5.4990000000000006,
1638568939,524.4158034080881,5.498,
1638568939,521.0003673978009,5.496,
1638568939,524.9037228381292,5.4982500000000005,
1638568939,519.6585889651882,5.4982500000000005,
