row_id,run_id,depl,model,energy(joules),time(seconds)
1,1,ONNX,mnist,8713.743952613258,50
2,1,ONNX,cifar10,7117.697197922704,44
3,1,ONNX,emotion,2918.763934336816,28
4,1,ONNX,yolov4,6543.570959807732,42
5,1,SCLB,mnist,10593.133195659066,57
6,1,SCLB,cifar10,13386.705498036124,64
7,1,SCLB,emotion,10446.590160862683,58
8,1,SCLB,yolov4,11668.379456361447,59
9,1,DOCKER,mnist,10312.677393312608,54
10,1,DOCKER,cifar10,7464.550885995282,45
11,1,DOCKER,emotion,3047.0807719411546,29
12,1,DOCKER,yolov4,8208.213938374973,47
13,2,ONNX,mnist,9840.500964470082,52
14,2,ONNX,cifar10,6532.851320624652,42
15,2,ONNX,emotion,3151.4218821089707,29
16,2,ONNX,yolov4,6421.137318583969,42
17,2,SCLB,mnist,11328.926424818648,59
18,2,SCLB,cifar10,13229.53052456697,63
19,2,SCLB,emotion,12009.674623867404,61
20,2,SCLB,yolov4,11571.582135150853,57
21,2,DOCKER,mnist,9312.854646678506,52
22,2,DOCKER,cifar10,7069.740576914258,43
23,2,DOCKER,emotion,3358.3636317408254,30
24,2,DOCKER,yolov4,8016.158970776987,46
25,3,ONNX,mnist,9312.205358016741,51
26,3,ONNX,cifar10,7337.70493451254,44
27,3,ONNX,emotion,3245.1166442733775,29
28,3,ONNX,yolov4,6946.744812056133,43
29,3,SCLB,mnist,10848.71871305046,58
30,3,SCLB,cifar10,12122.011185412255,60
31,3,SCLB,emotion,11471.645540813079,59
32,3,SCLB,yolov4,11151.044836817566,58
33,3,DOCKER,mnist,9406.437815041385,52
34,3,DOCKER,cifar10,7769.287062015181,47
35,3,DOCKER,emotion,3179.8508164308837,30
36,3,DOCKER,yolov4,7660.395120106262,45
37,4,ONNX,mnist,9181.003141938341,50
38,4,ONNX,cifar10,6815.715278517455,43
39,4,ONNX,emotion,2686.2076433178913,26
40,4,ONNX,yolov4,6613.156844142612,43
41,4,SCLB,mnist,11058.31066414151,58
42,4,SCLB,cifar10,11977.917290349702,60
43,4,SCLB,emotion,11639.738627883193,61
44,4,SCLB,yolov4,10868.83841348084,57
45,4,DOCKER,mnist,9485.47685714996,52
46,4,DOCKER,cifar10,7377.06233438629,45
47,4,DOCKER,emotion,3084.8548000428004,29
48,4,DOCKER,yolov4,7649.194115394737,45
49,5,ONNX,mnist,8590.43542069528,49
50,5,ONNX,cifar10,7569.683576573232,45
51,5,ONNX,emotion,3437.208548400536,30
52,5,ONNX,yolov4,7087.01677987077,43
53,5,SCLB,mnist,10882.288347891626,58
54,5,SCLB,cifar10,13735.983075369551,65
55,5,SCLB,emotion,12234.246965094335,63
56,5,SCLB,yolov4,11613.10382498428,59
57,5,DOCKER,mnist,9731.709830044962,52
58,5,DOCKER,cifar10,6881.56281828078,43
59,5,DOCKER,emotion,3463.0463877589273,31
60,5,DOCKER,yolov4,7601.571709579765,45
61,6,ONNX,mnist,8666.47780515334,49
62,6,ONNX,cifar10,7345.320947581335,44
63,6,ONNX,emotion,2627.7213594021046,27
64,6,ONNX,yolov4,7524.313049544925,46
65,6,SCLB,mnist,10850.429722347428,58
66,6,SCLB,cifar10,12620.511011370372,62
67,6,SCLB,emotion,11421.823182884335,60
68,6,SCLB,yolov4,11835.818675910288,60
69,6,DOCKER,mnist,10305.898821938139,54
70,6,DOCKER,cifar10,6908.245126014136,43
71,6,DOCKER,emotion,3012.7877649844468,28
72,6,DOCKER,yolov4,7672.458513448514,46
73,7,ONNX,mnist,8977.672689163956,50
74,7,ONNX,cifar10,7580.5541494650115,45
75,7,ONNX,emotion,3102.2299558552813,29
76,7,ONNX,yolov4,7103.509766482841,43
77,7,SCLB,mnist,10453.45211243026,57
78,7,SCLB,cifar10,13660.463662580392,63
79,7,SCLB,emotion,11417.745154301816,60
80,7,SCLB,yolov4,11474.47213931701,59
81,7,DOCKER,mnist,9631.092919472692,53
82,7,DOCKER,cifar10,7175.403688002089,44
83,7,DOCKER,emotion,3417.2754665383927,30
84,7,DOCKER,yolov4,6780.913951077157,43
85,8,ONNX,mnist,9225.25949913644,50
86,8,ONNX,cifar10,8197.059859278297,47
87,8,ONNX,emotion,3167.9201592285517,29
88,8,ONNX,yolov4,6863.424961926386,43
89,8,SCLB,mnist,11359.1965033707,60
90,8,SCLB,cifar10,12058.653474012395,60
91,8,SCLB,emotion,11930.980701198383,61
92,8,SCLB,yolov4,11400.177843670104,58
93,8,DOCKER,mnist,10018.936296416236,53
94,8,DOCKER,cifar10,7234.67409480669,44
95,8,DOCKER,emotion,3341.8960242896437,30
96,8,DOCKER,yolov4,7014.068621629047,44
97,9,ONNX,mnist,9093.059336710538,50
98,9,ONNX,cifar10,7872.774429392803,46
99,9,ONNX,emotion,3058.649180725265,28
100,9,ONNX,yolov4,7804.039077210888,46
101,9,SCLB,mnist,10714.039502705153,58
102,9,SCLB,cifar10,13793.13283021869,65
103,9,SCLB,emotion,12176.475549394776,62
104,9,SCLB,yolov4,10997.459194310202,58
105,9,DOCKER,mnist,10534.862315495535,55
106,9,DOCKER,cifar10,6854.082693481011,43
107,9,DOCKER,emotion,3062.866200465847,28
108,9,DOCKER,yolov4,7832.908205396447,46
109,10,ONNX,mnist,8728.445165963976,49
110,10,ONNX,cifar10,7648.54478626943,45
111,10,ONNX,emotion,2844.6452991728156,28
112,10,ONNX,yolov4,7177.89743347347,43
113,10,SCLB,mnist,10681.773017855807,57
114,10,SCLB,cifar10,12983.922671402224,63
115,10,SCLB,emotion,12141.118116580928,62
116,10,SCLB,yolov4,11047.770707619526,58
117,10,DOCKER,mnist,9617.410792837421,52
118,10,DOCKER,cifar10,7395.056139497845,45
119,10,DOCKER,emotion,3140.003784002591,29
120,10,DOCKER,yolov4,7414.188992661678,45
