depl,model,energy(joules),timestamp
ONNX,yolov4,3.7500635626932164,1
ONNX,yolov4,15.620801282051282,2
ONNX,yolov4,36.82945410529187,3
ONNX,yolov4,67.49199331696671,4
ONNX,yolov4,105.70010868453355,5
ONNX,yolov4,151.60588669530824,6
ONNX,yolov4,205.19895642957812,7
ONNX,yolov4,269.8527950536461,8
ONNX,yolov4,344.57527158346977,9
ONNX,yolov4,425.10094875204584,10
ONNX,yolov4,512.0935654209857,11
ONNX,yolov4,610.9023199672667,12
ONNX,yolov4,720.771660387116,13
ONNX,yolov4,833.4387089129842,14
ONNX,yolov4,955.3136090084562,15
ONNX,yolov4,1088.9739002545919,16
ONNX,yolov4,1229.8085497363159,17
ONNX,yolov4,1379.0939126432081,18
ONNX,yolov4,1537.234576854883,19
ONNX,yolov4,1703.7420110474636,20
ONNX,yolov4,1885.9824354712225,21
ONNX,yolov4,2076.9828707492275,22
ONNX,yolov4,2271.9671423213317,23
ONNX,yolov4,2474.4687445444633,24
ONNX,yolov4,2688.837851200219,25
ONNX,yolov4,2916.072022754138,26
ONNX,yolov4,3146.4245468494278,27
ONNX,yolov4,3383.5935714448087,28
ONNX,yolov4,3626.1294249806792,29
ONNX,yolov4,3876.309378409711,30
ONNX,yolov4,4132.420826854883,31
ONNX,yolov4,4405.955176395709,32
ONNX,yolov4,4693.78815696604,33
ONNX,yolov4,4980.729604473541,34
ONNX,yolov4,5271.68642807215,35
ONNX,yolov4,5581.694875204583,36
ONNX,yolov4,5906.2464020446905,37
ONNX,yolov4,6235.52792234952,38
ONNX,yolov4,6572.47757867908,39
ONNX,yolov4,6914.704569012549,40
ONNX,yolov4,7248.640863111477,41
SCLB,mnist,3.7303239528919763,1
SCLB,mnist,14.1290685975552,2
SCLB,mnist,31.815291063264006,3
SCLB,mnist,57.154545530306194,4
SCLB,mnist,89.28842319187544,5
SCLB,mnist,130.80788765819787,6
SCLB,mnist,179.51436811761096,7
SCLB,mnist,231.7495169116895,8
SCLB,mnist,292.44273426165483,9
SCLB,mnist,361.71137812560374,10
SCLB,mnist,434.7594484145173,11
SCLB,mnist,514.3001464454959,12
SCLB,mnist,605.2784266389888,13
SCLB,mnist,701.3523844932934,14
SCLB,mnist,804.2252963191648,15
SCLB,mnist,918.4370363916679,16
SCLB,mnist,1033.9239158165683,17
SCLB,mnist,1154.7005649099017,18
SCLB,mnist,1289.6734401433396,19
SCLB,mnist,1431.6731536162492,20
SCLB,mnist,1581.1030165650843,21
SCLB,mnist,1735.246838826618,22
SCLB,mnist,1887.7641798237805,23
SCLB,mnist,2050.1869228642104,24
SCLB,mnist,2228.6407385819107,25
SCLB,mnist,2410.8718458344856,26
SCLB,mnist,2605.2716436101505,27
