row_id,run_id,depl,model,exec_time(s),start,end
60,5,DOCKER,yolov4,43.48901314399882,2021-11-22 13:40:00.103121,2021-11-22 13:40:43.592134
61,6,ONNX,mnist,42.49150437800017,2021-11-22 12:51:50.117444,2021-11-22 12:52:32.608948
62,6,ONNX,cifar10,34.42324432799978,2021-11-22 13:21:08.404815,2021-11-22 13:21:42.828059
63,6,ONNX,emotion,25.651218403999792,2021-11-22 11:01:32.369878,2021-11-22 11:01:58.021096
64,6,ONNX,yolov4,43.08670256700043,2021-11-22 11:07:05.094534,2021-11-22 11:07:48.181237
65,6,SCLB,mnist,56.766807171003165,2021-11-22 14:59:22.467782,2021-11-22 15:00:19.234589
66,6,SCLB,cifar10,52.594355334000284,2021-11-22 12:13:38.988072,2021-11-22 12:14:31.582427
67,6,SCLB,emotion,57.70755102599924,2021-11-22 12:26:33.554027,2021-11-22 12:27:31.261578
68,6,SCLB,yolov4,59.62512247900008,2021-11-22 10:48:40.763730,2021-11-22 10:49:40.388852
69,6,DOCKER,mnist,46.6001792269999,2021-11-22 14:47:43.154697,2021-11-22 14:48:29.754876
70,6,DOCKER,cifar10,34.82458510500146,2021-11-22 14:08:37.951081,2021-11-22 14:09:12.775666
71,6,DOCKER,emotion,26.55193585899997,2021-11-22 10:50:53.446981,2021-11-22 10:51:19.998917
72,6,DOCKER,yolov4,42.73551610100003,2021-11-22 11:45:07.527601,2021-11-22 11:45:50.263117
73,7,ONNX,mnist,44.05211982400033,2021-11-22 14:55:41.284016,2021-11-22 14:56:25.336136
74,7,ONNX,cifar10,34.23192808300155,2021-11-22 13:56:52.985619,2021-11-22 13:57:27.217547
75,7,ONNX,emotion,25.552967126000112,2021-11-22 11:58:20.040822,2021-11-22 11:58:45.593789
76,7,ONNX,yolov4,42.97896942400075,2021-11-22 14:40:25.166463,2021-11-22 14:41:08.145432
77,7,SCLB,mnist,55.75625676799973,2021-11-22 13:17:24.459886,2021-11-22 13:18:20.216143
78,7,SCLB,cifar10,52.895371968999825,2021-11-22 14:29:11.844350,2021-11-22 14:30:04.739722
79,7,SCLB,emotion,57.30956682500073,2021-11-22 12:42:05.156345,2021-11-22 12:43:02.465912
80,7,SCLB,yolov4,59.724250785000095,2021-11-22 11:11:01.888324,2021-11-22 11:12:01.612575
81,7,DOCKER,mnist,47.40387835399997,2021-11-22 12:34:18.467099,2021-11-22 12:35:05.870977
82,7,DOCKER,cifar10,34.523682692000875,2021-11-22 13:38:11.836153,2021-11-22 13:38:46.359836
83,7,DOCKER,emotion,25.701059562999944,2021-11-22 13:19:33.007046,2021-11-22 13:19:58.708106
84,7,DOCKER,yolov4,43.886291162999896,2021-11-22 11:03:11.215364,2021-11-22 11:03:55.101655
85,8,ONNX,mnist,44.20141703599984,2021-11-22 14:51:44.650178,2021-11-22 14:52:28.851595
86,8,ONNX,cifar10,36.13666270500107,2021-11-22 13:45:15.015542,2021-11-22 13:45:51.152205
87,8,ONNX,emotion,25.604081540999687,2021-11-22 14:11:55.388933,2021-11-22 14:12:20.993015
88,8,ONNX,yolov4,42.71759861400096,2021-11-22 14:33:10.532397,2021-11-22 14:33:53.249996
89,8,SCLB,mnist,55.90890500800015,2021-11-22 14:00:35.793150,2021-11-22 14:01:31.702055
90,8,SCLB,cifar10,52.69383982799991,2021-11-22 12:21:01.243548,2021-11-22 12:21:53.937388
91,8,SCLB,emotion,58.06978817500021,2021-11-22 13:36:00.568826,2021-11-22 13:36:58.638614
92,8,SCLB,yolov4,59.52556715799983,2021-11-22 14:13:28.985113,2021-11-22 14:14:28.510680
