depl,model,rss(kb),vsz(kb),timestamp,time
SCLB,yolov4,258164,165204,11/22/21 15:05:14.116,0.0
SCLB,yolov4,274356,181348,11/22/21 15:05:14.478,0.362
SCLB,yolov4,294332,199608,11/22/21 15:05:14.846,0.73
SCLB,yolov4,330172,237096,11/22/21 15:05:15.214,1.098
SCLB,yolov4,330172,237096,11/22/21 15:05:15.579,1.463
SCLB,yolov4,330172,237096,11/22/21 15:05:15.943,1.827
SCLB,yolov4,330172,237096,11/22/21 15:05:16.311,2.195
SCLB,yolov4,330172,237096,11/22/21 15:05:16.674,2.558
SCLB,yolov4,330172,237096,11/22/21 15:05:17.040,2.924
SCLB,yolov4,330172,237096,11/22/21 15:05:17.407,3.291
SCLB,yolov4,330172,237096,11/22/21 15:05:17.773,3.657
SCLB,yolov4,330172,237096,11/22/21 15:05:18.142,4.026
SCLB,yolov4,330172,237096,11/22/21 15:05:18.508,4.392
SCLB,yolov4,330172,237096,11/22/21 15:05:18.876,4.76
SCLB,yolov4,331324,238300,11/22/21 15:05:19.240,5.124
SCLB,yolov4,334332,241204,11/22/21 15:05:19.614,5.498
SCLB,yolov4,336764,243580,11/22/21 15:05:19.975,5.859
SCLB,yolov4,339772,246748,11/22/21 15:05:20.355,6.239
SCLB,yolov4,342204,249124,11/22/21 15:05:20.714,6.598
SCLB,yolov4,344956,251764,11/22/21 15:05:21.091,6.975
SCLB,yolov4,347580,254404,11/22/21 15:05:21.452,7.336
SCLB,yolov4,350332,257308,11/22/21 15:05:21.819,7.703
SCLB,yolov4,353020,259948,11/22/21 15:05:22.182,8.066
SCLB,yolov4,355452,262324,11/22/21 15:05:22.547,8.431
SCLB,yolov4,358460,265228,11/22/21 15:05:22.918,8.802
SCLB,yolov4,360828,267604,11/22/21 15:05:23.280,9.164
SCLB,yolov4,364092,271036,11/22/21 15:05:23.658,9.542
SCLB,yolov4,367548,274468,11/22/21 15:05:24.018,9.902
SCLB,yolov4,371580,278428,11/22/21 15:05:24.393,10.277
SCLB,yolov4,375292,282124,11/22/21 15:05:24.753,10.637
SCLB,yolov4,379068,286084,11/22/21 15:05:25.118,11.002
SCLB,yolov4,382972,289780,11/22/21 15:05:25.486,11.37
SCLB,yolov4,386428,293212,11/22/21 15:05:25.851,11.735
SCLB,yolov4,390720,297700,11/22/21 15:05:26.229,12.113
SCLB,yolov4,394176,301132,11/22/21 15:05:26.588,12.472
SCLB,yolov4,398144,305092,11/22/21 15:05:26.964,12.848
SCLB,yolov4,401856,308688,11/22/21 15:05:27.324,13.208
SCLB,yolov4,405632,312648,11/22/21 15:05:27.689,13.573
SCLB,yolov4,409600,316608,11/22/21 15:05:28.058,13.942
SCLB,yolov4,413056,320040,11/22/21 15:05:28.421,14.305
SCLB,yolov4,417344,324264,11/22/21 15:05:28.799,14.683
SCLB,yolov4,420736,327696,11/22/21 15:05:29.159,15.043
SCLB,yolov4,424768,331656,11/22/21 15:05:29.535,15.419
SCLB,yolov4,428480,335352,11/22/21 15:05:29.895,15.779
SCLB,yolov4,432256,339048,11/22/21 15:05:30.260,16.144
SCLB,yolov4,436224,343008,11/22/21 15:05:30.628,16.512
SCLB,yolov4,439616,346440,11/22/21 15:05:30.992,16.876
SCLB,yolov4,443908,350664,11/22/21 15:05:31.370,17.254
SCLB,yolov4,447364,354360,11/22/21 15:05:31.730,17.614
SCLB,yolov4,451396,358320,11/22/21 15:05:32.103,17.987
SCLB,yolov4,455044,362016,11/22/21 15:05:32.462,18.346
SCLB,yolov4,458820,365712,11/22/21 15:05:32.828,18.712
SCLB,yolov4,462788,369672,11/22/21 15:05:33.196,19.08
SCLB,yolov4,466244,373104,11/22/21 15:05:33.559,19.443
SCLB,yolov4,470532,377328,11/22/21 15:05:33.938,19.822
SCLB,yolov4,473924,380760,11/22/21 15:05:34.297,20.181
SCLB,yolov4,477956,384720,11/22/21 15:05:34.669,20.553
SCLB,yolov4,481668,388680,11/22/21 15:05:35.029,20.913
SCLB,yolov4,485444,392376,11/22/21 15:05:35.395,21.279
SCLB,yolov4,489412,396336,11/22/21 15:05:35.764,21.648
SCLB,yolov4,492804,399768,11/22/21 15:05:36.128,22.012
SCLB,yolov4,497096,403992,11/22/21 15:05:36.507,22.391
SCLB,yolov4,500552,407424,11/22/21 15:05:36.866,22.75
SCLB,yolov4,504584,411384,11/22/21 15:05:37.240,23.124
SCLB,yolov4,508296,415080,11/22/21 15:05:37.599,23.483
SCLB,yolov4,512072,419040,11/22/21 15:05:37.965,23.849
SCLB,yolov4,515976,422736,11/22/21 15:05:38.333,24.217
SCLB,yolov4,519432,426432,11/22/21 15:05:38.696,24.58
SCLB,yolov4,523720,430656,11/22/21 15:05:39.075,24.959
SCLB,yolov4,527176,434088,11/22/21 15:05:39.434,25.318
SCLB,yolov4,531144,438048,11/22/21 15:05:39.806,25.69
SCLB,yolov4,534856,441744,11/22/21 15:05:40.166,26.05
SCLB,yolov4,538632,445440,11/22/21 15:05:40.531,26.415
SCLB,yolov4,542600,449400,11/22/21 15:05:40.901,26.785
SCLB,yolov4,546056,452832,11/22/21 15:05:41.264,27.148
SCLB,yolov4,550344,457320,11/22/21 15:05:41.643,27.527
SCLB,yolov4,553740,460752,11/22/21 15:05:42.002,27.886
SCLB,yolov4,557772,464712,11/22/21 15:05:42.377,28.261
SCLB,yolov4,561484,468408,11/22/21 15:05:42.736,28.62
SCLB,yolov4,565260,472104,11/22/21 15:05:43.101,28.985
