depl,model,energy(joules),timestamp
SCLB,emotion,50.165328293253836,4
SCLB,emotion,78.74743809110775,5
SCLB,emotion,113.68877197301688,6
SCLB,emotion,154.1082017635228,7
SCLB,emotion,203.38050875511806,8
SCLB,emotion,260.77014883511293,9
SCLB,emotion,322.80811055727474,10
SCLB,emotion,387.24891070461376,11
SCLB,emotion,464.6611471609783,12
SCLB,emotion,549.668577970358,13
SCLB,emotion,628.9222972952499,14
SCLB,emotion,714.5564043697944,15
SCLB,emotion,814.9106642375302,16
SCLB,emotion,926.0257637008225,17
SCLB,emotion,1039.371037793021,18
SCLB,emotion,1150.9142897995207,19
SCLB,emotion,1273.8574997064586,20
SCLB,emotion,1404.954941888212,21
SCLB,emotion,1540.30621986463,22
SCLB,emotion,1680.2346436971864,23
SCLB,emotion,1830.762709522493,24
SCLB,emotion,2008.1833293405352,25
SCLB,emotion,2190.043073760402,26
SCLB,emotion,2375.1581192972426,27
SCLB,emotion,2584.1914004401237,28
SCLB,emotion,2783.0688666638894,29
SCLB,emotion,2963.5456539730403,30
SCLB,emotion,3161.2936391501307,31
SCLB,emotion,3373.7678761594902,32
SCLB,emotion,3577.0628153963576,33
SCLB,emotion,3765.60405712511,34
SCLB,emotion,3989.041743808165,35
SCLB,emotion,4234.498913251799,36
SCLB,emotion,4454.981737482814,37
SCLB,emotion,4688.17434924645,38
SCLB,emotion,4953.253957112611,39
SCLB,emotion,5214.056308874051,40
SCLB,emotion,5469.423014038871,41
SCLB,emotion,5750.532909282358,42
SCLB,emotion,6038.579546620104,43
SCLB,emotion,6313.700368461123,44
SCLB,emotion,6588.345465254133,45
SCLB,emotion,6882.600436449169,46
SCLB,emotion,7202.58402101948,47
SCLB,emotion,7501.440412246182,48
SCLB,emotion,7768.164504018682,49
SCLB,emotion,8081.095647723444,50
SCLB,emotion,8418.355614344911,51
SCLB,emotion,8739.240392929245,52
SCLB,emotion,9071.623140971984,53
SCLB,emotion,9418.09125382078,54
SCLB,emotion,9783.4502863452,55
SCLB,emotion,10146.527790331686,56
SCLB,emotion,10498.009801224922,57
SCLB,emotion,10872.153157751207,58
SCLB,emotion,11252.33614871391,59
SCLB,emotion,11626.506822337456,60
SCLB,emotion,12009.674623867404,61
SCLB,yolov4,2.311701570383164,1
SCLB,yolov4,10.579471558110992,2
SCLB,yolov4,24.837343245761552,3
SCLB,yolov4,45.71584723421662,4
SCLB,yolov4,75.09096149038679,5
SCLB,yolov4,109.22853961183583,6
SCLB,yolov4,152.75302159560928,7
SCLB,yolov4,203.7834891595836,8
SCLB,yolov4,254.86592152061266,9
SCLB,yolov4,316.5668600290895,10
SCLB,yolov4,391.25417946911494,11
SCLB,yolov4,472.7603537339211,12
SCLB,yolov4,560.0713983739374,13
SCLB,yolov4,647.9791842984408,14
SCLB,yolov4,738.0501573792098,15
SCLB,yolov4,839.3412572155809,16
SCLB,yolov4,945.0084394743418,17
SCLB,yolov4,1057.6095066133355,18
SCLB,yolov4,1178.5628170310438,19
SCLB,yolov4,1306.3547435343846,20
SCLB,yolov4,1448.954746460388,21
SCLB,yolov4,1590.6708599040949,22
SCLB,yolov4,1729.161252471478,23
SCLB,yolov4,1867.7465478841868,24
SCLB,yolov4,2009.2993869596833,25
SCLB,yolov4,2172.106559929094,26
SCLB,yolov4,2349.329023765965,27
SCLB,yolov4,2537.898476773783,28
SCLB,yolov4,2739.406798298941,29
SCLB,yolov4,2935.5206615608377,30
SCLB,yolov4,3143.9284687343747,31
SCLB,yolov4,3367.4496150174987,32
SCLB,yolov4,3594.870682724648,33
SCLB,yolov4,3832.7765631107673,34
SCLB,yolov4,4059.7781309656366,35
SCLB,yolov4,4281.790956320166,36
SCLB,yolov4,4550.241890794735,37
SCLB,yolov4,4841.702739818643,38
SCLB,yolov4,5097.963781958773,39
SCLB,yolov4,5359.527185127947,40
SCLB,yolov4,5633.571959229124,41
SCLB,yolov4,5927.095603324848,42
SCLB,yolov4,6241.216519391163,43
SCLB,yolov4,6525.509885914275,44
SCLB,yolov4,6807.4497106665585,45
SCLB,yolov4,7121.308729035041,46
SCLB,yolov4,7459.542225807915,47
SCLB,yolov4,7802.488119052162,48
SCLB,yolov4,8110.308893407151,49
SCLB,yolov4,8426.73049249406,50
SCLB,yolov4,8746.541151009318,51
SCLB,yolov4,9073.01050467281,52
SCLB,yolov4,9469.723932167675,53
SCLB,yolov4,9875.821452660077,54
SCLB,yolov4,10253.37774370591,55
SCLB,yolov4,10609.711380485001,56
SCLB,yolov4,10971.873296788879,57
SCLB,yolov4,11329.284125659467,58
SCLB,yolov4,11668.379456361447,59
ONNX,cifar10,2.695266931546593,1
ONNX,cifar10,11.907795670008596,2
ONNX,cifar10,30.527959929020255,3
ONNX,cifar10,57.951654464262035,4
ONNX,cifar10,91.58186711941185,5
ONNX,cifar10,135.8118854324878,6
ONNX,cifar10,190.4391618500941,7
ONNX,cifar10,252.18750036929157,8
ONNX,cifar10,320.42199583173937,9
ONNX,cifar10,388.3802069169264,10
ONNX,cifar10,468.500053755601,11
ONNX,cifar10,558.2510642037128,12
ONNX,cifar10,649.6142824285374,13
ONNX,cifar10,748.7643288172443,14
ONNX,cifar10,971.6544630500078,16
ONNX,cifar10,1102.4600511705598,17
ONNX,cifar10,1242.7955596188153,18
ONNX,cifar10,1382.1609012703632,19
ONNX,cifar10,1526.5901147265915,20
ONNX,cifar10,1684.0447642972665,21
ONNX,cifar10,1847.8368773648863,22
