depl,model,mean_exec(s),median_exec(s),stdev_exec
ONNX,emotion,26.453395271099787,25.473932737999803,3.354780254386202
ONNX,mnist,43.60016097010011,43.72384332100046,0.7004860977210539
DOCKER,cifar10,34.84089830210085,34.75062441200134,0.41507607328476137
SCLB,emotion,57.448554354000045,57.51213350850048,0.35221948830593486
ONNX,yolov4,43.45428967060032,43.01265070900013,1.7839132481760764
DOCKER,mnist,46.64613826299983,46.57537271899946,0.7638830907080769
ONNX,cifar10,34.869659578000075,34.55422604699993,0.8103323947672653
DOCKER,emotion,26.052199971300162,25.701904118499442,0.9259626625675972
DOCKER,yolov4,43.08198037239998,43.08395148450086,0.4541810478823237
SCLB,yolov4,59.78667323759976,59.699451399000054,0.3963226018873101
SCLB,cifar10,54.71461035769984,52.7693886699999,4.78492898288132
SCLB,mnist,57.369030832900215,56.790515318502,1.9031384730407503
