depl,model,mean_rss(kb),median_rss,stdev_rss,mean_vsz(kb),median_vsz,stdev_vsz
ONNX,mnist,413.9188789997881,413.9188789997881,0.14665325714258168,98.89275001765911,98.89275001765911,0.11826509509162285
ONNX,cifar10,410.0516231003039,410.0516231003039,0.13589345763179655,95.13429353017801,95.13429353017801,0.034067624842958284
ONNX,emotion,406.18588064791135,406.18588064791135,0.020295712795394178,92.20568584825233,92.20568584825233,0.0014690700986750612
ONNX,yolov4,491.4377890238417,491.4377890238417,0.12385469897334138,173.74140755735493,173.74140755735493,0.04094348657704924
SCLB,mnist,297.638509916368,297.638509916368,2.6457195185216453,204.73100207088808,204.73100207088808,2.260247930457461
SCLB,cifar10,204.16464560122935,204.16464560122935,1.821750195716157,111.5594087591241,111.5594087591241,1.393578431634532
SCLB,emotion,218.71937254901962,218.71937254901962,0.06241026126239574,125.92315032679738,125.92315032679738,0.05307460310553543
SCLB,yolov4,570.8131274185937,570.8131274185937,2.9924044865367474,477.9850697656127,477.9850697656127,2.5975578174001694
DOCKER,mnist,418.436727090301,418.436727090301,0.1727355445685303,98.85769364548494,98.85769364548494,0.3525109401947957
DOCKER,cifar10,413.69681342840164,413.69681342840164,0.10394511698102935,94.62260427807487,94.62260427807487,0.07002247793589829
DOCKER,emotion,409.8643055555556,409.8643055555556,0.000117851130181573,92.12652777777778,92.12652777777778,0.1011555534197373
DOCKER,yolov4,495.3128136993977,495.3128136993977,0.17042491722354536,173.24705939207172,173.24705939207172,0.3869313266858486
