depl,model,pcpu ,tcpu,p_timestamp,t_timestamp,p_time,t_time
DOCKER,mnist,0.01,106.7,12/03/21 21:26:36.325,12/03/21 21:26:36.108,0.0,0.0
DOCKER,mnist,0.01,100.0,12/03/21 21:26:36.717,12/03/21 21:26:36.503,0.392,0.395
DOCKER,mnist,0.02,100.0,12/03/21 21:26:37.120,12/03/21 21:26:36.904,0.795,0.796
DOCKER,mnist,0.02,100.0,12/03/21 21:26:37.512,12/03/21 21:26:37.299,1.187,1.191
DOCKER,mnist,0.03,100.0,12/03/21 21:26:37.891,12/03/21 21:26:37.681,1.566,1.573
DOCKER,mnist,0.03,106.7,12/03/21 21:26:38.281,12/03/21 21:26:38.067,1.956,1.959
DOCKER,mnist,0.03,100.0,12/03/21 21:26:38.668,12/03/21 21:26:38.454,2.343,2.346
DOCKER,mnist,0.04,87.5,12/03/21 21:26:39.057,12/03/21 21:26:38.844,2.732,2.736
DOCKER,mnist,0.04,150.0,12/03/21 21:26:39.448,12/03/21 21:26:39.231,3.123,3.123
DOCKER,mnist,0.05,156.2,12/03/21 21:26:39.849,12/03/21 21:26:39.630,3.524,3.522
DOCKER,mnist,0.06,173.3,12/03/21 21:26:40.274,12/03/21 21:26:40.053,3.949,3.945
DOCKER,mnist,0.07,186.7,12/03/21 21:26:40.678,12/03/21 21:26:40.457,4.353,4.349
DOCKER,mnist,0.07,180.0,12/03/21 21:26:41.082,12/03/21 21:26:40.861,4.757,4.753
DOCKER,mnist,0.08,186.7,12/03/21 21:26:41.486,12/03/21 21:26:41.265,5.161,5.157
DOCKER,mnist,0.09,193.3,12/03/21 21:26:41.891,12/03/21 21:26:41.670,5.566,5.562
DOCKER,mnist,0.1,186.7,12/03/21 21:26:42.297,12/03/21 21:26:42.076,5.972,5.968
DOCKER,mnist,0.1,193.3,12/03/21 21:26:42.704,12/03/21 21:26:42.481,6.379,6.373
DOCKER,mnist,0.11,181.2,12/03/21 21:26:43.108,12/03/21 21:26:42.888,6.783,6.78
DOCKER,mnist,0.12,180.0,12/03/21 21:26:43.517,12/03/21 21:26:43.294,7.192,7.186
DOCKER,mnist,0.13,200.0,12/03/21 21:26:43.924,12/03/21 21:26:43.702,7.599,7.594
DOCKER,mnist,0.14,200.0,12/03/21 21:26:44.332,12/03/21 21:26:44.110,8.007,8.002
DOCKER,mnist,0.14,181.2,12/03/21 21:26:44.740,12/03/21 21:26:44.518,8.415,8.41
DOCKER,mnist,0.15,187.5,12/03/21 21:26:45.150,12/03/21 21:26:44.926,8.825,8.818
DOCKER,mnist,0.16,187.5,12/03/21 21:26:45.560,12/03/21 21:26:45.337,9.235,9.229
DOCKER,mnist,0.17,187.5,12/03/21 21:26:45.969,12/03/21 21:26:45.746,9.644,9.638
DOCKER,mnist,0.18,206.7,12/03/21 21:26:46.378,12/03/21 21:26:46.155,10.053,10.047
DOCKER,mnist,0.19,187.5,12/03/21 21:26:46.788,12/03/21 21:26:46.565,10.463,10.457
DOCKER,mnist,0.2,200.0,12/03/21 21:26:47.197,12/03/21 21:26:46.975,10.872,10.867
DOCKER,mnist,0.2,200.0,12/03/21 21:26:47.608,12/03/21 21:26:47.384,11.283,11.276
DOCKER,mnist,0.21,200.0,12/03/21 21:26:48.017,12/03/21 21:26:47.794,11.692,11.686
DOCKER,mnist,0.22,200.0,12/03/21 21:26:48.427,12/03/21 21:26:48.204,12.102,12.096
DOCKER,mnist,0.23,200.0,12/03/21 21:26:48.836,12/03/21 21:26:48.613,12.511,12.505
DOCKER,mnist,0.24,206.7,12/03/21 21:26:49.246,12/03/21 21:26:49.023,12.921,12.915
