row_id,run_id,depl,model,pcpu ,tcpu
104,9,SCLB,yolov4,0.20399999999999996,98.70937499999995
105,9,DOCKER,mnist,0.3482706766917294,195.59849624060155
106,9,DOCKER,cifar10,0.1973469387755102,195.45918367346943
107,9,DOCKER,emotion,0.1916666666666667,191.98611111111111
108,9,DOCKER,yolov4,5.462457627118645,196.4618644067798
109,10,ONNX,mnist,0.6154545454545455,193.62396694214874
110,10,ONNX,cifar10,0.22061224489795922,194.234693877551
111,10,ONNX,emotion,0.2589705882352942,191.30294117647057
112,10,ONNX,yolov4,0.49162393162393164,193.06752136752132
113,10,SCLB,mnist,1.0085185185185184,96.50740740740734
114,10,SCLB,cifar10,0.18795620437956204,98.65401459854012
115,10,SCLB,emotion,0.25535947712418294,98.72352941176467
116,10,SCLB,yolov4,0.17224358974358972,98.59230769230763
117,10,DOCKER,mnist,0.31905797101449285,196.84782608695667
118,10,DOCKER,cifar10,1.5666666666666673,194.1137254901961
119,10,DOCKER,emotion,0.3005555555555555,193.75416666666672
120,10,DOCKER,yolov4,0.25881355932203387,193.64745762711868
