depl,model,mean_pcpu(%),median_pcpu,stdev_pcpu,mean_tcpu(%),median_tcpu,stdev_tcpu
ONNX,mnist,0.4581546231546232,0.4581546231546232,0.2224556834767841,193.88420569329656,193.88420569329656,0.3680331713282898
ONNX,cifar10,0.28690186712983073,0.28690186712983073,0.09374768280490173,193.67000651324358,193.67000651324358,0.7985885291042664
ONNX,emotion,0.21854326513213984,0.21854326513213984,0.057172868622920016,190.65002131287292,190.65002131287292,0.9233681262425616
ONNX,yolov4,0.37910143949617636,0.37910143949617636,0.15913083443909135,193.3942869995501,193.3942869995501,0.4621163885325388
SCLB,mnist,0.5910334528076463,0.5910334528076463,0.5904130420165381,97.602413381123,97.602413381123,1.5485722989082402
SCLB,cifar10,1.112991260084518,1.112991260084518,1.3081971214485002,94.37075729927,94.37075729927,6.057440563761356
SCLB,emotion,0.23552287581699344,0.23552287581699344,0.028053190600015265,98.69836601307185,98.69836601307185,0.03558641970678514
SCLB,yolov4,0.23888253106811397,0.23888253106811397,0.0942416946033271,98.5670127418593,98.5670127418593,0.035772461983579244
DOCKER,mnist,0.37456744704570794,0.37456744704570794,0.07850225384356863,196.6819899665553,196.6819899665553,0.2345276906029692
DOCKER,cifar10,0.8853030303030306,0.8853030303030306,0.9635936954533048,194.1710041592395,194.1710041592395,0.08100427059585429
DOCKER,emotion,0.25243055555555555,0.25243055555555555,0.06805902768920516,192.57847222222227,192.57847222222227,1.6626830285400365
DOCKER,yolov4,0.3158117383387028,0.3158117383387028,0.08060759779594276,193.97579492926184,193.97579492926184,0.4643390657238617
