depl,model,rss(kb),vsz(kb),timestamp,time
DOCKER,mnist,417376,92528,12/03/21 21:27:14.595,38.27
DOCKER,mnist,417376,92528,12/03/21 21:27:15.016,38.691
DOCKER,mnist,417376,92528,12/03/21 21:27:15.435,39.11
DOCKER,mnist,417376,92528,12/03/21 21:27:15.847,39.522
DOCKER,mnist,417376,92528,12/03/21 21:27:16.267,39.942
DOCKER,mnist,417376,92528,12/03/21 21:27:16.693,40.368
DOCKER,mnist,417376,92528,12/03/21 21:27:17.104,40.779
DOCKER,mnist,417376,92528,12/03/21 21:27:17.518,41.193
DOCKER,mnist,417376,92528,12/03/21 21:27:17.934,41.609
DOCKER,mnist,417376,92528,12/03/21 21:27:18.348,42.023
DOCKER,mnist,417376,92528,12/03/21 21:27:18.769,42.444
DOCKER,mnist,417376,92528,12/03/21 21:27:19.191,42.866
DOCKER,mnist,417376,92528,12/03/21 21:27:19.601,43.276
DOCKER,mnist,417376,92528,12/03/21 21:27:20.021,43.696
DOCKER,mnist,417376,92528,12/03/21 21:27:20.440,44.115
DOCKER,mnist,417376,92528,12/03/21 21:27:20.858,44.533
DOCKER,mnist,417376,92528,12/03/21 21:27:21.274,44.949
DOCKER,mnist,417376,92528,12/03/21 21:27:21.689,45.364
DOCKER,mnist,417376,92528,12/03/21 21:27:22.102,45.777
DOCKER,mnist,417376,92528,12/03/21 21:27:22.522,46.197
DOCKER,mnist,417376,92528,12/03/21 21:27:22.946,46.621
DOCKER,mnist,417376,92528,12/03/21 21:27:23.415,47.09
DOCKER,mnist,417376,92528,12/03/21 21:27:23.840,47.515
DOCKER,mnist,417376,92528,12/03/21 21:27:24.260,47.935
DOCKER,mnist,417376,92528,12/03/21 21:27:24.674,48.349
DOCKER,mnist,417376,92528,12/03/21 21:27:25.093,48.768
DOCKER,mnist,417376,92528,12/03/21 21:27:25.506,49.181
DOCKER,mnist,417376,92528,12/03/21 21:27:25.926,49.601
DOCKER,mnist,417376,92528,12/03/21 21:27:26.338,50.013
DOCKER,mnist,417376,92528,12/03/21 21:27:26.751,50.426
DOCKER,mnist,417376,92528,12/03/21 21:27:27.176,50.851
DOCKER,mnist,417376,92528,12/03/21 21:27:27.594,51.269
DOCKER,mnist,417376,92528,12/03/21 21:27:28.019,51.694
DOCKER,mnist,417376,92528,12/03/21 21:27:28.441,52.116
DOCKER,mnist,417376,92528,12/03/21 21:27:28.865,52.54
DOCKER,mnist,417376,92528,12/03/21 21:27:29.284,52.959
DOCKER,mnist,412508,88892,12/03/21 21:27:29.707,53.382
ONNX,yolov4,172712,19360,12/03/21 20:48:30.948,0.0
ONNX,yolov4,312644,46596,12/03/21 20:48:31.355,0.407
ONNX,yolov4,325752,69312,12/03/21 20:48:31.756,0.808
ONNX,yolov4,327180,70828,12/03/21 20:48:32.152,1.204
ONNX,yolov4,331668,74464,12/03/21 20:48:32.548,1.6
ONNX,yolov4,337484,80136,12/03/21 20:48:32.950,2.002
ONNX,yolov4,387432,106272,12/03/21 20:48:33.358,2.41
ONNX,yolov4,517776,186976,12/03/21 20:48:33.785,2.837
ONNX,yolov4,498176,176328,12/03/21 20:48:34.294,3.346
ONNX,yolov4,498176,176328,12/03/21 20:48:34.727,3.779
ONNX,yolov4,498176,176328,12/03/21 20:48:35.161,4.213
ONNX,yolov4,498176,176328,12/03/21 20:48:35.589,4.641
ONNX,yolov4,498176,176328,12/03/21 20:48:36.015,5.067
ONNX,yolov4,498176,176328,12/03/21 20:48:36.440,5.492
ONNX,yolov4,498176,176328,12/03/21 20:48:36.863,5.915
ONNX,yolov4,498176,176328,12/03/21 20:48:37.287,6.339
ONNX,yolov4,498176,176328,12/03/21 20:48:37.710,6.762
ONNX,yolov4,498176,176328,12/03/21 20:48:38.145,7.197
ONNX,yolov4,498176,176328,12/03/21 20:48:38.572,7.624
ONNX,yolov4,498176,176328,12/03/21 20:48:39.006,8.058
ONNX,yolov4,498176,176328,12/03/21 20:48:39.427,8.479
ONNX,yolov4,498176,176328,12/03/21 20:48:39.851,8.903
ONNX,yolov4,498176,176328,12/03/21 20:48:40.316,9.368
ONNX,yolov4,498176,176328,12/03/21 20:48:40.743,9.795
ONNX,yolov4,498176,176328,12/03/21 20:48:41.175,10.227
ONNX,yolov4,498176,176328,12/03/21 20:48:41.611,10.663
ONNX,yolov4,498176,176328,12/03/21 20:48:42.051,11.103
ONNX,yolov4,498176,176328,12/03/21 20:48:42.495,11.547
ONNX,yolov4,498176,176328,12/03/21 20:48:42.924,11.976
ONNX,yolov4,498176,176328,12/03/21 20:48:43.365,12.417
ONNX,yolov4,498176,176328,12/03/21 20:48:43.808,12.86
ONNX,yolov4,498176,176328,12/03/21 20:48:44.254,13.306
ONNX,yolov4,498176,176328,12/03/21 20:48:44.678,13.73
ONNX,yolov4,498176,176328,12/03/21 20:48:45.121,14.173
ONNX,yolov4,498176,176328,12/03/21 20:48:45.555,14.607
ONNX,yolov4,498176,176328,12/03/21 20:48:45.987,15.039
ONNX,yolov4,498176,176328,12/03/21 20:48:46.419,15.471
ONNX,yolov4,498176,176328,12/03/21 20:48:46.864,15.916
ONNX,yolov4,498176,176328,12/03/21 20:48:47.299,16.351
ONNX,yolov4,498176,176328,12/03/21 20:48:47.730,16.782
ONNX,yolov4,498176,176328,12/03/21 20:48:48.160,17.212
ONNX,yolov4,498176,176328,12/03/21 20:48:48.597,17.649
ONNX,yolov4,498176,176328,12/03/21 20:48:49.037,18.089
ONNX,yolov4,498176,176328,12/03/21 20:48:49.473,18.525
ONNX,yolov4,498176,176328,12/03/21 20:48:49.914,18.966
ONNX,yolov4,498176,176328,12/03/21 20:48:50.354,19.406
ONNX,yolov4,498176,176328,12/03/21 20:48:50.783,19.835
