row_id,run_id,depl,model,exec_time(s),start,end
1,1,ONNX,mnist,51.8052058989997,2021-12-03 20:24:09.300354,2021-12-03 20:25:01.105560
2,1,ONNX,cifar10,44.956119428999955,2021-12-03 20:38:49.452838,2021-12-03 20:39:34.408957
3,1,ONNX,emotion,29.59282291099953,2021-12-03 20:32:37.082919,2021-12-03 20:33:06.675742
4,1,ONNX,yolov4,43.58370155799912,2021-12-03 20:48:30.336242,2021-12-03 20:49:13.919944
5,1,SCLB,mnist,58.536730714999976,2021-12-03 20:28:31.245333,2021-12-03 20:29:29.782064
6,1,SCLB,cifar10,65.04436731499845,2021-12-03 21:09:53.217641,2021-12-03 21:10:58.262008
7,1,SCLB,emotion,59.452952912,2021-12-03 20:05:53.700059,2021-12-03 20:06:53.153012
8,1,SCLB,yolov4,59.7500427899995,2021-12-03 21:01:17.520966,2021-12-03 21:02:17.271009
9,1,DOCKER,mnist,54.4028281610008,2021-12-03 21:26:35.704679,2021-12-03 21:27:30.107507
10,1,DOCKER,cifar10,46.548866341000576,2021-12-03 20:36:50.399817,2021-12-03 20:37:36.948683
11,1,DOCKER,emotion,29.719426363999446,2021-12-03 20:10:25.360233,2021-12-03 20:10:55.079659
12,1,DOCKER,yolov4,47.32248142099979,2021-12-03 20:42:46.977545,2021-12-03 20:43:34.300026
13,2,ONNX,mnist,52.48910195899953,2021-12-03 21:05:35.766064,2021-12-03 21:06:28.255166
14,2,ONNX,cifar10,43.67440854300003,2021-12-03 20:59:23.024644,2021-12-03 21:00:06.699053
15,2,ONNX,emotion,30.28138412199951,2021-12-03 20:44:46.911021,2021-12-03 20:45:17.192405
16,2,ONNX,yolov4,42.57362190599997,2021-12-03 20:22:15.952688,2021-12-03 20:22:58.526310
17,2,SCLB,mnist,59.83237112000006,2021-12-03 20:15:57.937075,2021-12-03 20:16:57.769446
18,2,SCLB,cifar10,63.36395094799991,2021-12-03 20:57:08.876162,2021-12-03 20:58:12.240113
19,2,SCLB,emotion,62.2720918519999,2021-12-03 20:18:08.424251,2021-12-03 20:19:10.696343
20,2,SCLB,yolov4,58.087192221000805,2021-12-03 20:34:17.441170,2021-12-03 20:35:15.528362
21,2,DOCKER,mnist,52.684854164999706,2021-12-03 21:07:47.766605,2021-12-03 21:08:40.451459
22,2,DOCKER,cifar10,44.281393467999806,2021-12-03 21:24:29.247757,2021-12-03 21:25:13.529150
23,2,DOCKER,emotion,30.388001772999814,2021-12-03 20:40:53.835900,2021-12-03 20:41:24.223902
24,2,DOCKER,yolov4,47.33670459099994,2021-12-03 21:16:28.299937,2021-12-03 21:17:15.636642
